,asin,name,category,description,price,rating,No_of_Rating
0,9788072216,Prada Candy by Prada for Women 1.7 oz Eau de Parfum Spray,Fragrance,"Brand Prada Scent Honey, Musk , Vanilla Item Form Spray Item Weight 278 Grams Item Volume 1.7 Fluid Ounces",56.29,4.7,1391
1,B00004TMFE,"Avalon Organics Therapy Thickening Conditioner, Biotin B-Complex, 14 Oz",Hair Care,"Brand Avalon Organics Scent Biotin B Hair Type Thin Liquid Volume 14 Fluid Ounces Ingredients Aloe Barbadensis Leaf Juice (Certified Organic Ingredient), Aqua (Water), Brassica Alcohol, Glycerin, Cocos Nucifera (Coconut) Oil (Certified Organic Ingredient), Brassicyl Isoleucinate Esylate, Gluconolactone, Capryloyl Glycerin/Sebacic Acid Copolymer, Cedrus Atlantica Wood Oil, Citrus Aurantifolia (Lime) Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Citrus Paradisi (Grapefruit) Peel Oil, Eucalyptus Globulus Leaf Oil, Juniperus Virginiana Oil, Persea Gratissima (Avocado) Oil (Certified Organic Ingredient), Rosmarinus Officinalis (Rosemary) Leaf Oil, Zingiber Officinale (Ginger) Root Oil, Avena Sativa (Oat) Kernel Extract (Certified Organic Ingredient) (Known as Biotin Carrier), Calendula Officinalis Flower Extract (Certified Organic Ingredient), Chamomilla Recutita (Matricaria) Flower Extract (Certified Organic Ingredient), Chenopodium Quinoa Seed (Certified Organic Ingredient), Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Grandis (Grapefruit) Fruit Extract, Daucus Carota Sativa (Carrot) Root Extract (Certified Organic Ingredient), Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract (Certified Organic Ingredient), Persea Gratissima (Avocado) Fruit Extract (Certified Organic Ingredient) (Known as Biotin Carrier), Rubus Idaeus (Raspberry) Fruit Extract (Certified Organic Ingredient) (Known as Biotin Carrier), Serenoa Serrulata Fruit Extract (Certified Organic Ingredient) (Saw Palmetto Extract), Solanum Lycopersicum (Tomato) Fruit/Leaf/Stem Extract (Certified Organic Ingredient) (Known as Biotin Carrier), Panthenol, Tocopheryl Acetate, Arachidyl Alcohol, Arginine, Behenyl Alcohol, Beta-Caryophyllene, Diheptyl Succinate, Glyceryl Stearate, Stearyl Alcohol (Certified Organic Ingredient), Calcium Gluconate, Sodium Benzoate, Citral, Limonene.Aloe Barbadensis Leaf Juice (Certified Organic Ingredient), Aqua (Water), Brassica Alcohol, Glycerin, Cocos Nucifera (Coconut) Oil (Certified Organic Ingre… See more",7.81,4.1,5646
2,B00004TUBL,"CLASSIC Better Living Two Chamber Dispenser, White",Bath,Color White Brand CLASSIC Item Dimensions LxWxH 4 x 11 x 7 inches,39.99,4.3,99
3,B00004TUBV,"Better Living Products 73350 ULTI-MATE 3 Chamber Wall Mount Shower Dispenser, White with Mirror",Bath,Color White Material Plastic Brand Better Living Item Dimensions LxWxH 4 x 12 x 13 inches,38.21,4.5,1245
4,B000052WYD,"Maybelline New York Cover Stick Concealer, Light 2, 0.6 oz, Ivory, , 1.0 Count",Makeup,"Color Ivory Brand Maybelline New York Ingredients G2085 Ethylhexyl Palmitate, Ozokerite, Kaolin, Eyhylhexyl Hydroxstearate, Talc, Propylparaben, Polybutene, Methylparaben, Butylparaben, Tbhq. (+/- May Contain: Ci 77891/Titanium Dioxide, Ci 77499, Ci 77492, Ci 77491/Iron Oxides, Ci 77163/Bismuth Oxychloride, Ci 77007/Ultramarines, Ci 77289/Chromium Hydroxide Green).G2085 Ethylhexyl Palmitate, Ozokerite, Kaolin, Eyhylhexyl Hydroxstearate, Talc, Propylparaben, Polybutene, Methylparaben, Butylparaben, Tbhq. (+… See more Coverage Light Item Weight 5 Grams",4.99,4.6,3316
5,B000052WYN,"Maybelline New York Ultra-Liner Liquid Liner, Waterproof, Black 135L-01 , 0.25 fl oz (7.3 ml)",Makeup,"Brand Maybelline New York Item Form Liquid Ingredients Water, Styrene/Acrylates Copolymer, Acrylates Copolymer, Alcohol Denat., Butylene Glycol, Vp/Dimethiconylacrylate/Polycarbamyl/ Polyglycol Ester, Phenoxyethanol, Peg-75 Lanolin, Xanthangum, Methylparaben, Polysorbate 20, Sodium Dehydroacetate, Cellulose Gum, Disodium Edta, Propylparaben, Simethicone. (+/- May Contain: Ci 77499, Ci 77492, Ci 77491/Iron Oxides, Ci 77891/Titanium Dioxide, Mica, Ci 77007/Ultramarines, Ci 77289/Chromium Hydroxide Green, Ci 77288/Chromium Oxide Greens.)Water, Styrene/Acrylates Copolymer, Acrylates Copolymer, Alcohol Denat., Butylene Glycol, Vp/Dimethiconylacrylate/Polycarbamyl/ Polyglycol… See more Finish Type Glossy color Item Weight 0.04 Pounds",5.77,4.3,6215
6,B000052X9G,Nullo Internal Deodorant (135 Caplets),Personal Care,"Ingredients Other Ingredients: Crospovidone, Dextrose, Hypromellose, Maltodextrin, Microcrystalline Cellulose, Mineral Oil, Stearic Acid.Other Ingredients: Crospovidone, Dextrose, Hypromellose, Maltodextrin, Microcrystalline Cellulose, Mineral Oil,… See more Brand Nullo Item Form Caplets",55.0,4.2,162
7,B000052XIA,"Vagisil Regular Strength Anti-Itch Moisturizing Feminine Cream for Women, Gynecologist Tested, Hypoallergenic, Fast-acting and Long-lasting Itch Relief, Vaginal Moisturizer Soothes and Cools, 1 oz",Health Care,Brand Vagisil Active Ingredients ERROR: #N/A Specific Uses For Product ERROR: #N/A Item Form Cream Age Range (Description) Adult,3.99,4.6,1053
8,B000052XW5,"Pretty Feet & Hands Rough Skin Remover-Exfoliant, 3-Ounce Bottles (Pack of 3)",Skin Care,"Brand Pretty Feet & Hands Ingredients Water, Paraffin, Magnesium Aluminum Silicate, Palmitic Acid, Stearic Acid, Triethanolamine, Methylparaben, Propylparaben, Fragrance.Water, Paraffin, Magnesium Aluminum Silicate, Palmitic Acid, Stearic Acid, Triethanolamine, Methylparaben, Propylparaben, Fragrance. See more Product Benefits Softness,Soft Item Weight 0.3 Pounds Skin Type Dry",20.59,4.6,723
9,B000052XYQ,"DHS Clear Shampoo For Daily Cleasing Of Hair And Shampoo, 8 Fl Oz",Hair Care,Brand Person & Covey Scent Unscented Hair Type All Liquid Volume 8 Fluid Ounces Item Weight 110 Ounces,12.2,4.5,293
10,B000052XZX,"Neutrogena T/Sal Therapeutic Shampoo, Scalp Build-Up Control 4.5 oz",Hair Care,"Brand Neutrogena Hair Type Dandruff Liquid Volume 130 Milliliters Item Weight 0.18 Kilograms Ingredients Active Ingredient: Salicylic Acid 2% Inactive Ingredients: Water, sodium C14-16 olefin sulfonate, cocamidopropyl betaine, sodium chloride, fragrance, polysorbate 20, PEG-80 sorbitan laurate, C12-15 alkyl lactate, benzalkonium chloride, disodium EDTA, cocamidopropyl PG-dimonium chloride phosphate, propylene glycol, aloe barbadensis leaf extract, anthemis nobilis flower extract, chamomilla recutita (matricaria) flower extract, sodium hydroxide, citric acid, yellow 5, red 40Active Ingredient: Salicylic Acid 2% Inactive Ingredients: Water, sodium C14-16 olefin sulfonate, cocamidopropyl betaine, sodium chloride, fragrance,… See more",9.29,4.4,760
11,B000052Y33,"Alberto VO5 Moisturizing Hot Oil Treatment, 0.5 Ounce, 2-Count Tubes (Pack of 6)",Hair Care,"Scent Moisturizing Formula with Vitamin E Brand Alberto VO5 Item Form Oil Ingredients Water (Aqua), Cocotrimonium Chloride, Aloe Barbadensis Leaf Juice, Acetamide Mea, Hydroxyethylcellulose, Pei-1750, Polyquaternium-10, Hydrolyzed Wheat Protein, Tocopheryl Acetate, Niacinamide, Ascorbic Acid, Panthenol, Hydrolyzed Soy Protein/Vegetable Amino Acids/Lysine Hydroxypropyltrimonium Chloride, Phytantriol, Biotin, Polysorbate 20, Oleth-20, Methylparaben, Disodium Edta, Fragrance (Parfum), Yellow 6.Water (Aqua), Cocotrimonium Chloride, Aloe Barbadensis Leaf Juice, Acetamide Mea, Hydroxyethylcellulose, Pei-1750, Polyquaternium-1… See more Product Benefits Strengthening, Moisturizing, Breakage Control",35.26,4.5,60
12,B000052YJC,"Buf Puf Body Sponge, Dermatologist Developed, Cleanses Skin of Dirt and Excess Oil, Reusable, Exfoliating, 1 Count",Personal Care,Brand Buf-Puf Style Body Sponge Item Dimensions LxWxH 3.81 x 1.31 x 5.06 inches,8.64,4.6,2724
13,B000052YJM,"Clean & Clear Essentials Dual Action Facial Moisturizer with Salicylic Acid Acne Medication to Treat Acne and Prevent Pimples, Oil Free Face Moisturizer Cream for Acne-Prone Skin, 4 oz",Skin Care,"Item Form Liquid Brand Clean & Clear Skin Type Oily Age Range (Description) Adult Ingredients Active Ingredients Salicylic acid 0.5% Purpose acne medication Inactive Ingredients Water, dicaprylyl ether, cetearyl alcohol, glycerin, neopentyl glycol diethylhexanoate, dimethicone, methyl gluceth-20, menthyl lactate, aluminum starch octenylsuccinate, ceteth-10 phosphate, dicetyl phosphate, steareth-20, sodium hydroxide, steareth-2, fragrance, neopentyl glycol diisostearate, hydrogenated lecithin, xanthan gum, magnesium aluminum silicate, disodium EDTA, BHTActive Ingredients Salicylic acid 0.5% Purpose acne medication Inactive Ingredients Water, dicaprylyl ether, cetearyl alcohol, glycerin, neopentyl glycol die… See more",4.97,4.6,2874
14,B000052YLX,Purpose Gentle Cleansing Bar 6 oz (170 g),Skin Care,"Item Form Bar Brand With a Purpose Skin Type Sensitive Ingredients Sodium Tallowater, Sodium Cocoate, Water, Glycerin, Fragrance, Sodium Chloride, Bht, Trisodium Hedta, D&c Yellow 10, D&c Orange 4.Sodium Tallowater, Sodium Cocoate, Water, Glycerin, Fragrance, Sodium Chloride, Bht, Trisodium Hedta, D&c Yellow 10, D&c Orange 4. See more Item Weight 0.4 Pounds",6.89,4.8,272
15,B000052YM3,"Alpha Hydrox AHA Enhanced Creme, Anti-Wrinkle Exfoliant - 2 oz",Skin Care,Item Form Oil Brand Alpha Hydrox Skin Type Sensitive Scent Unscented Skin Tone All,12.99,4.1,339
16,B000052YMG,"Aquanil Lotion A Gentle, Soapless Lipid-Free Cleanser - 16 fl oz",Skin Care,Item Form Lotion Brand Aquanil Scent Fragrance Free Skin Type Sensitive Age Range (Description) Adult,17.21,4.6,865
17,B000052YMR,"Cetaphil Moisturizing Cream, Fragrance Free, 3 Ounce (Pack of 3) (Packaging May Vary)",Skin Care,Item Form Cream Brand Cetaphil Skin Type Sensitive Age Range (Description) Adult Scent Frangrance Free,28.37,4.7,641
18,B000052YMT,"Cetaphil Gentle Skin Cleanser, 4.0 -Ounce Bottles (Pack of 6)",Skin Care,"Item Form Strip Brand Cetaphil Scent Unscented Skin Type Acne Prone,Sensitive Age Range (Description) Kid,Youth,Adult",35.76,4.6,8
19,B000052YN7,"DML Moisturizing Lotion, 16 Fl Oz",Skin Care,Special Ingredients Purified Water; Petrolatum; Glycerin; Methyl Glucose Sesquistearate; Dimethicone; PEG-20 Methyl Glucose Sesquistearate; Benzyl Alcohol; Cyclomethicone; Glyceryl Stearate; Stearic Acid; Cetyl Alcohol; Xanthan Gum; Magnesium Aluminum Silicate; Sodium Carbomer 941Purified Water; Petrolatum; Glycerin; Methyl Glucose Sesquistearate; Dimethicone; PEG-20 Methyl Glucose Sesquistearate; Benzyl Alcohol; Cyclomethicone; Gly… See more Item Form Lotion Brand DML Use for Whole Body Specific Uses For Product Dryness,16.63,4.7,694
20,B000052YOL,"Neutrogena Healthy Skin Anti-Wrinkle Retinol & Vitamin E Daily Moisturizer with SPF 15 Sunscreen, Oil-Free Face & Neck Cream with Retinol, Vitamin E, Vitamin A & Vitamin B5, 1.4 oz",Skin Care,"Item Form Lotion, Cream Brand Neutrogena Skin Type Sensitive Sun Protection 15 SPF Age Range (Description) Adult,Teen",11.49,4.6,3395
21,B000052YOR,"Neutrogena Lightweight Body Oil for Dry Skin, Sheer Moisturizer in Light Sesame Formula, 8.5 fl. oz",Skin Care,Special Ingredients Sesame Oil Item Form Oil Brand Neutrogena Skin Type Dry Age Range (Description) Adult,9.59,4.8,4057
22,B000052YOX,"Neutrogena Oil-Free Facial Moisturizer, Sensitive Skin, 4 Fl Oz",Skin Care,Item Form Oil Brand Neutrogena Use for Face Specific Uses For Product Dryness Skin Type Sensitive,9.5,4.7,13507
23,B000052YP4,"Neutrogena Light Facial Night Cream, 2.25 Oz.",Skin Care,"Item Form Cream Brand Neutrogena Skin Type Acne Prone,Sensitive Age Range (Description) Adult Skin Tone All",25.99,4.5,436
24,B000052YQN,Pond's Cold Cream Cleanser 3.5 oz,Skin Care,Item Form Cream Use for Face Brand Pond's Special Ingredients ERROR: #N/A Scent ERROR: #N/A,5.14,4.6,4962
25,B000052Z5B,"Coty AIRSPUN Face Powder, Naturally Neutral, 2.3 Oz, Natural Tone Loose Face Powder, for Setting Makeup or Foundation, Lightweight, Long Lasting, Pack of 1",Makeup,"Color Naturally Neutral Brand COTY AIRSPUN Ingredients Inactive Ingredients: Talc, Calcium Silicate, Acetylated Lanolin Alcohol, Isopropyl Palmitate, Zinc Stearate, Fragrance, Imidazolidinyl Urea, Methylparaben, Propylparaben, May Contain: Titanium Dioxide, Iron Oxides.Inactive Ingredients: Talc, Calcium Silicate, Acetylated Lanolin Alcohol, Isopropyl Palmitate, Zinc Stearate, Fragrance, Imidazolidinyl Urea, Methylparaben, Prop… See more Coverage Light Product Benefits Flawless; Make Up Setting",5.72,4.5,78123
26,B000052ZBH,"Almay Thickening Mascara with Aloe and Vitamin B5, Hypoallergenic, Cruelty Free, -Fragrance Free, Ophthalmologist Tested, 402 Black",Makeup,"Color Black Product Benefits Separating, Hypoallergenic, Thickening Ingredients Aqua ((Water) Eau), Pentaerythrityl Tetrastearate, Cera Alba ((Beeswax) Cire D'Abeille) PVP, Glyceryl Stearate SE, Ozokerite, Polybutene, Oleic Acid, Cera Carnauba ((Copernicia Cerifera (Carnauba) Wax) Cire DE Carnauba), Isopropanolamine, Sorbitan Sesquioleate, Aloe Barbadensis Leaf Juice, Tocopheryl Acetate, Magnesium Ascorbyl Phosphate, Panthenol, Quaternium-22, Simethicone, Quaternium 15, Methylparaben, Ethylparaben, Propylparaben, Imidazolidinyl Urea.Aqua ((Water) Eau), Pentaerythrityl Tetrastearate, Cera Alba ((Beeswax) Cire D'Abeille) PVP, Glyceryl Stearate SE, Ozokerite, Polybutene, Oleic Acid, Cera Carnaub… See more Item Volume 12 Milliliters Country/Region Of Origin United States",5.49,4.3,1955
27,B0000530ED,"L'Oreal Paris Feria Multi-Faceted Shimmering Permanent Hair Color, 36 Deep Burgundy Brown, Hair Dye",Hair Care,"Color 36 Deep Burgundy Brown Brand L'Oreal Paris Ingredients Our formulas are modified from time to time, so this ingredient listing may not exactly reflect the ingredients in the product you purchase and use. Always read the ingredient list on the product label before use. Note: Below Is The Most Comprehensive Ingredient List For This Product, But Please Note That Ingredients Vary By Shade. Please Check The Box At The Store For An Ingredient List At The Shade Level. Formula 1107535 FERIA - Midnight Collection - 3.26 INGREDIENTS AQUA / WATER / EAU ALCOHOL DENAT. PEG-4 RAPESEEDAMIDE GLYCERYL LAURYL ETHER DECETH-3 PROPYLENE GLYCOL LAURETH-5 CARBOXYLIC ACID ETHANOLAMINE DIPROPYLENE GLYCOL HEXYLENE GLYCOL AMMONIUM HYDROXIDE POLOXAMER 338 POLYQUATERNIUM-6 OLEYL ALCOHOL 2,4-DIAMINOPHENOXYETHANOL HCl 4-AMINO-2-HYDROXYTOLUENE m-AMINOPHENOL 2-METHYL-5-HYDROXYETHYLAMINOPHENOL AMMONIUM THIOLACTATE p-PHENYLENEDIAMINE PARFUM / FRAGRANCE RESORCINOL EDTA ERYTHORBIC ACID FIL CODE D43841/2 Formula 1087179 D AFTER COLOR CONDITIONER INGREDIENTS AQUA / WATER / EAU CETEARYL ALCOHOL GLYCERIN BEHENTRIMONIUM CHLORIDE AMODIMETHICONE CETYL ESTERS ISOPROPYL ALCOHOL PARFUM / FRAGRANCE SODIUM PCA TRIDECETH-6 PANTHENOL CANDELILLA CERA / CANDELILLA WAX / CIRE DE CANDELILLA CETRIMONIUM CHLORIDE CHLORHEXIDINE DIHYDROCHLORIDE HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN 2-OLEAMIDO-1,3-OCTADECANEDIOL SOLUBLE COLLAGEN FIL CODE D52825/3 Formula 1084487 A ACCENTING AFTER COLOR INGREDIENTS AQUA / WATER / EAU DISODIUM COCOAMPHODIPROPIONATE SODIUM LAURYL SULFATE PPG-5-CETETH-10 PHOSPHATE PHOSPHORIC ACID PPG-12-PEG-50 LANOLIN GLYCOL DISTEARATE POLYQUATERNIUM-10 HEXYLENE GLYCOL SODIUM BENZOATE PARFUM / FRAGRANCE TARTARIC ACID PEG-55 PROPYLENE GLYCOL OLEATE SALICYLIC ACID PROPYLENE GLYCOL FIL CODE D43589/4 L'ORÉAL PARIS 20 VOLUME RETAIL DEVELOPER INGREDIENTS AQUA / WATER HYDROGEN PEROXIDE CETEARYL ALCOHOL TRIDECETH-2 CARBOXAMIDE MEA CETEARETH-30 GLYCERIN PENTASODIUM PENTETATE SODIUM STANNATE TETRASODIUM PYROPHOSPHATE F.I.L. Code D56/21Our formulas are modified from time to time, so this ingredient listing may not exactly reflect the ingredients in the product you purchase and use. Al… See more Item Form Liquid Hair Type Chemically Treated",9.97,4.7,757
28,B0000530EZ,Aussie Hair Insurance Leave-In Conditioner 8 oz (Pack of 3),Hair Care,"Brand Aussie Scent Orange Hair Type All Liquid Volume 8 Milliliters Ingredients Water, Amodimethicone, Cetrimonium Chloride, Trideceth-12, Polyquaternium-11, PEG-40, Hydrogenated Castor Oil, PPG-2, Methyl Ether, DMDM Hydantoin, Fragrance, Disodium EDTA, Polysorbate 80, Aminomethyl Propanol, Citric Acid, Panax Ginseng Root Extract, Silk Extract, Aloe Barbadensis Leaf JuiceWater, Amodimethicone, Cetrimonium Chloride, Trideceth-12, Polyquaternium-11, PEG-40, Hydrogenated Castor Oil, PPG-2, Methyl Ether, DMD… See more",19.99,4.7,802
29,B0000530G6,"Suave Professionals Conditioner, Deep Moisture, 12.6 oz",Hair Care,Brand Suave Hair Type All Liquid Volume 410 Milliliters Ingredients 1. Water (Aqua) 2. Cetearyl Alcohol 3. Dimethicone 4. Stearamidopropyl Dimethylamine 5. Behentrimonium Chloride 6. Fragrance (Parfum) 7. Dipropylene Glycol 8. Lactic Acid 9. Potassium Chloride 10. Amodimethicone 11. Disodium Edta 12. Dmdm Hydantoin 13. Peg-150 Distearate 14. Peg-7 Propylheptyl Ether 15. Cetrimonium Chloride 16. Hydrolyzed Keratin 17. Panthenol 18. Methylchloroisothiazolinone 19. Methylisothiazolinone1. Water (Aqua) 2. Cetearyl Alcohol 3. Dimethicone 4. Stearamidopropyl Dimethylamine 5. Behentrimonium Chloride 6. Fragrance (Parfum) 7. Dipropylene Glycol… See more Item Dimensions LxWxH 2.81 x 1.69 x 8.38 inches,2.73,4.6,590
