,Unnamed: 0,asin,helpful,Not helpful,review_concat,summary_concat,overall rating,name,category,description,price,rating,No_of_Rating
10,10,B000P22TIY,0.4,0.7,good le 15 best nautica tried great product great price bought quite give away gift good nautica voyage men nautica eau de toilette spraynautica voyage men nautica eau de toilette spraynautica voyage men nautica eau de toilette spray got boyfriend christmas not really used yet came great condition love smell smell projection smell give something aquatic feeling beach last 3 hour projectingskin scent soft gentle last another 5 hour smell great not last longit would 5 star cologne last least 5 hour nautica always come great cologne not exception nice affordable price specially getting nautica brand name men stronger scent cheap version nautica seems last little longer throughout day price right used spend 4060 dollar cologne recent year find type value make much sense amazon delivered quickly smell woman wearing sometimes like men purchased husband prefer scent fresh clean smelling really genderless take age fade still smell clothes day later go toss wash cologne smell good love buy bottle finish smell good maybe not favorite cologne ever smelled really great value picked rated well also picked well rated nautica blue time compare say wow stay away blue stick voyage world differencethis stuff smell great not face last day easily highly recommend applesflowers pee oh myi say scent cheap not make bad also expensive not make goodman not smell like womenamazon greatcustomer service great cologne not greatsave money want nice aquatic competitive priced summer cologne tommy bahama set sail martinique st bart though st bart strong lime 34tequila34 nice summerbut not tke word buy leave comment review think otherwise bought pant hated tennies hated boot big short thought uglytrying give nice birthday liked cologne voyage smell fresh great cologne not smell set apart cologne need couple spray would last forever looking cologne not fade fast favorite work cologne not smell bad even sweating working great daytime use would rather use something else night gave 4stars smelling average not cheap longevity nautica voyager great scent go cologne ordering soon love smell gotten compliment others 34 oz bottle last quite wonderful clean aquatic scent great sillage longevity looking great aquatic scent hint citrus hard go wrong one nothing groundbreaking well done summertime scent got hubby love price definitely staple would strongly recommend product high schoolcollege individual beginning understand importance good fragrance restricted term money however fragrance not smell cheap regard hold integrity clean sharp love much fragrance longevity clean remotely moist skin last 812 hour also fairly potent aquatic fragrance easy trigger twothree spray chestneck open topnotes fruity presence smell like apple settle quickly freshcleanfloral green accord settle base pleasant masculine woodyaquatic contrast find like aquatic fragrance best appreciated late springsummer season price quality fragrance hard beat avid wearer high school year many fragrance still profound respect continue come back reliance one pick remember purchase amazon llc instead third party selling amazon ensure authenticity gentelmen looking manly perfume make wemon accidentally follow around house work area public place look no bought boyfriend christmas since smell sexier 34normal sexy34 fact found tool section shopping really like cologne go great dry amazing buy wanted purchase cologne husband went macys eventually picked found fraction price returned bought smell great last forever used davidoff cool water standard goto everyday scent decided try nautica voyage equally found agreement reviewer made comparison however step cool water much longer lasting fresh clean scent guy would appreciate go day attract compliment get time time wearing good cologne amazon always guarantee timely delivery good price love cologne clean crisp kind reminds walking beach scent last good 610 hour could not really ask quality fragrance great price nautica voyage realistic option somebody want spend twenty dollar cologne not though bottle cologne last long time good cologne worth spending extra buck onin opinion see wearing voyage beach not something id want wear work dinner date price voyage buy swiss army classic cologne think far superior smell voyage overrated cologne people buy cheap think many people buy voyage realize smell okay happy expected something far worse based paid first got mine deal breaker 100 legit no problem like thirty bottle designer cologne like polo tommy guy get big fan cologne always looking cologne stayed clothes day strong not strong scent lasting power nice low key fresh smell new favorite put others bench spent 18 dollar wear like expensive one clear winner almost thirty choose go figure nautica voyage aquatic essence subtle lightweight smell longlasting bouquet would consider everyday cologne clean refined nice alternative not like strong smelling cologne combination keep mind edt type cologne not last long full colognei say make sure buying reputable seller lot counterfeit could account bad review got mine direct amazon not third party sellerit decent smelling cologne 20 buck worthwhile purchase great price great fragrance shipped quickly problem signed not order informationi not home delivery attempted normal working hour merchandise returned local shipping terminal ups drive quite distance pick quite inconvenience costly price gas wonder world not delivered mailbox front porch like merchandise order amazon cologne smell great love bottle came sprayed smell took breath away smelt department store not smell good got awesome price payed 1708 34 oz bottle great cannot say enough cologne gave son really like itnautica voyage nautica men eau de toilette spray 17 oz really love cologne originally purchased son boyfriend kept borrowing decided get clean smell not musky last day definitely try not disappointed not heavenly smell cologne least somewhat cheap not encourage buy big perfume bottle like one since stick long time cologne perfect casual summer cologne smell greatrefreshing however thing not really like projectionlongevity thing not great unless put clothes course not great idea either best come smell without giving headache smell excellent not except get compliment unless close smell perfect fresh unlike eau de toilette give headache not others well furthermore not many eau de toilet wear want smell great without advertising others loud noticeable not needed way especially working sport club great soapy scent great projection moderate longevity work well right shower scent gym activity scent get compliment woman not prefer soapy scent exception prada amber pour homme still thierry muglers cologne two goto guy gym scent not smell inoffensive could mistaken strong soap wondering ordered price cheap well not pleased aroma also staying power cologne stuff go distance woman commenting first night wore smoky casino moving around hour later still catch scent voyage clinging working magic one steal get realize change price bought father daywonderful smell fresh clean nice summergood warm weather scent five word required cologne one favorite time second order getting great ordered online sampling store loving avoid high price would pay store yet open make sure real deal christmas gift dad afterwards i34ll give real review got amazon love perfume soothing strong masculine typically use work smell morning evening fresh clean smell kind would expect hollister newport beach smell like adapted cologne well priced used nautica voyage men nautica eau de toilette spray bought finished bottle thanks bought present husband took chance owned nautica past justshowered freshness not wimpy scent not strongappropriate office husband pleasantly surprised choosing scent description accurately described use cologne everyday campus get compliment guy friend come door use cologne smell fresh,five star five star three star nautica voyage smell great clean fresh scent smell good not last great smell price right great unisex scent love four star nice amazon great cologne not picky son liked thisyeah lot question wear nautica smell good one best aquatic scent cannot go wrong definitely worth money offer longevity safefresh masculine scent stalker great cologne smell great great price nautica voyage one favorite without doubt overrated nautica nice fresh smelling cologne watch counterfeit great fragrance great cologne nautica voyage nautica men nice clean smell ok price light sweat cheap perfect nautica voyage worth wonderful smell nautica men holiday gift nice would expect hollister newport beach smell like adapted cologne love nautica voyage men nautica eau de toilette spray crisp clean scent perfect everyday use,3,"Nautica Voyage By Nautica For Men Eau De Toilette Spray, 100 ml",Fragrance,"Brand


Nautica




Scent


Nautica Voyage, Nautica




Ingredients


Green Leaf, Apple, Drenched Mimosa, Sailcloth Accord, Water Lotus, Cedar Wood, Musk, Moss, Amber




Item Form


Liquid




Item Weight


3.38 Ounces",18.9,4.6,61455
13,13,B001FWXISS,0.0,0.0,love absolutely love scent husband always getting compliment wear scent last long time love wear time favorite cologne found everything cologne pretty good not amazing definitely goodit good lasting power decent projectioni also think smell quite good manly bit powdery overall pleasant like smooth fragrance splash spice intense euphoria added collection intense offer different scent signature euphoria one enjoy find last day probably considered best suited autumn winter softness work occasion time year amazon price unmatched free shipping option intense euphoria must 45 star good office scent great longevity close skin projection definitely not offend anyone work good work ck,five star smell dreamy everything done well ck hit mark intense euphoria intense gentleman scent,5,Calvin Klein intense euphoria for Men Eau de Toilette,Fragrance,"Brand


Calvin Klein




Scent


Floral




Item Form


Spray




Item Weight


4 Ounces




Item Volume


3.4 Fluid Ounces",86.0,4.7,807
21,21,B000C1ZDTU,0.9,1.3,bought based review let say smell alright nothing spectacular whole perfume collection manythis favorite fragrance super light smell lovely really smell woman smell like not strong daisy marc jacob barely wear anymore commercial among favorite ralph lauren blue dolce gabbana light blue favorite new signiture scent not think ever switch finally found fragrance love year year time money spent searching like smell clean scent hint lavender normally not like floral scent great one absolute favorite perfume love sweetness lightness get lot compliment wear one bottle usually last 3 month really pretty smelli love iti purchased one sisterinlaw one myselfits lovely aunt said gift absolutely love said not heavy overwhelming ever since roommate mine used wear time made everything touched smell like wanted people dislike perfume attached belonging clothes despite washing honestly love hard find scent really powdery flowery almost light musk scent refreshing different overly sweet pungent odor often perfume amazing strong scent not overwhelming irresistibleit smell like trip flower prairie breezy spring dayit sophisticated fruity scent fresh not sweeti find hard keep wrist nose applying perfect gorgeous gorgeous scent parfum last long surprised like lovely lotion heard product also discontinued bummer like scent bit mature smelling seems like something woman 30 maybe 35 would like wear 27yrs old love feminine scent like white diamond xclamation elizabeth taylor one one not know deep scent feeling nothing bright fresh light want say like woman version guy deep musk cologne flowery woman make sense might give mom though 53 might like alot sjps parfum collection far reputable celebrity fragrance marketlet say sucker floral scentespecially one conveys sophistication scent rich yet subtlethe parfums endearing quality fact outlasts typical eight hour work day instance sprayed test run sheet paper bedroom surprisingly smell lasted entire dayi absolutely love parfum excellent fragrance last not wear like hour seem evaporate would highly recommend almost like aroma therapy waken sens surrounded rose pedal honey dew one favorite scent not strong strong enough receive multiple compliment wear looking new lighter parfum wear work reading several review ordered try smell pretty not heavy light scent last day love bottle lovely strong flowery citrusy note type fragrance give instant headache not like allits far strong hit head strongit arrived place work co worker also turned iti love trying new fragrance one major flop scent really soft fresh mature bought mom 60 yr old loved scent lingered wrist sweater day box bottle pretty gift giving added wishlist hearing oprahs rave review perfume seeing one favorite thing 2005 thought sure id love ran right nearest department store sample see myselfwell not impressed scent strong overwhelming actually seemed catch throat accidentally got hand four hand washing could still smell guess like perfume probably good thinganyway think perfume old lady taste reminded j los glow also not likefor comparison sake perfume like britney spear curious clinique happy escada island kiss lucky 34lovely34 light feminine scent not last simple fix respray little bottle go fast unfortunately anyone not know name sarah jessica parker okay think carrie tv enormously successful sex city gal dressed nine always style glamour brings quality first fragrance lovely sarah jessica parkerits unique almost indescribable blend classicism chic innocence not scent like top note fresh mandarin bergamot lavender apple martini vibrant warm fragrance caress sensesmiddles note patchouli tender paper white luxe orchid enhanced bottom note irresistible white amber sensuous cedar sultry musk scent revel enjoy wearingthe bottle course simple exquisite curved polished glass ultra femininelovely sarah jessica parker beautiful dreamy yet quite alive fragrance appropriate every occasion gail cooke almost 52 year old worn perfume every single day life since 3rd grade time developed several favorite could never find signature smell ever tried could never tie onebut today received bottle lovely omg love immediately became worried stop making feel like need order 5 keep refrigeratorthis fragrance hard describe something feminine wonderful make want keep smelling hand sprayed itwhile mall tried modern muse smell lot alike modern muse cost 4 time lovely think ill stick lovelysarah jessica parker please not stop making not pleased purchase great review expecting may ok price favorite perfume bought friend family holiday everyone happy great price received mail today must say truly say lovely feminine highly recommend good price great scent high hope liking perfume especially since oprah raved represented sjp like strong flowery smell old lady love definitely not not expecting much first tried fragrance thought another celebrityendorsed cheap smelling thing jessica parker name boot someone whose taste clothes not much admirebut surprise absolutely beautiful fragrance not exactly sure describe soft feminine like beautiful smelling soap never overpower subtle classy understated reminds something sophisticated wealthy woman would wear fussy fragrance many stinky surprised smelled first time fell love not one buying perfume pr product celebrity endorsed happened smell shopping one day absolutely divine bought started using right away quickly noticed usually within hour le putting smell perfume gone not even whiff could smelt someone not around gotten used smell perfume evaporates quickly making practically useless longterm wear smell great gone anyone really get chance smell even using oki bought hype fragrance even hit shelf bought sight smell unseen mistake love stc love sjp not love musky scent former bos even told never wear work made nauseous seldom use perfume usually stick brand amarige one day shopping tried sjps lovely fell instantly love light flowery fragrance not overpowering strong wear well office light enough smell simply lovelyi bought gift set daughter love fragrance one daughter allergy said perfume not affect allergy looking delicate soft scent definitely try awesome perfume back not great either actually grown since first got perfume decided get go would wear consistently give fair chance 2 week wear finding like scent much better first not sure find day scent disappeared couple hour day notice often day long even evening not gotten comment not good bad assuming not stand much either way amount price id say overall good purchase however not sure id buy one heard lot hype fragrance like new pink fragrance lighter not heavy scent not absolute favorite pleasant everyday true test anyone compliment fragrance not happen still not disappointed enjoying using regretted buying cologne trying store not good smelling perfume sorry sarah sarah jessica parker great job labeling perfume literally smell lovely wearing couple year go perfume soft pleasant smell not strong smelling last long time also like covet perfume really not think perfume would smell good figured another celebrity hawking new product would buy even not associated fragrance really nice last long musky maybe felt perfume fit maore matured woman late 20 felt perfume would suit someone around mm age love gotten ton compliment worn work even boyfriend family house soft delicate others mentioned smell unique totally agree ton perfume carry floral note none quite like become one favorite perfume used three month 34 bottle wear least 3 time week love smell good get lot compliment not sure last effect must try lady smelled great came fashionable amount time without express mail gave gift person loved nice classic fresh floral scent last last strong floral note top end note feel fresh sophisticated feminine not overwhelming offensive mature scent enough weight work year round normally sweet fruit clean citrusy person great floralclean looking new type scent try great one bridge worth vanity favorite currently juicy couture chanel no 5 premeire coco chanel miss dior jadore great perfume excellent value last long like high end bottle also pretty look not much say like smell really like said favorite parfume lovely first spicy hint delicate orchid paper white honey sweet scent mellows evocative warmth hint hug memory corsage wedding something beautifully comforting yet altogether mysterious musk lavender give fragrance warm confidence mingling precious essential oil creates classically poetic blend refined nuancesthe rebecca review loved perfume ever one favorite always try not run get another bottle not invested owing rave review buying perfume online without trying store not work well sitting closet probably donate really wonder would anyone planet like scent like smell exactly like hungover sour breath want beautiful garment knock outthis perfume never league pleasant smelling high end perfume wasted 30 crap invest bit buy one favorite beautiful estee lauder light blue dolce gabbana jadore dior rich soft sexy importantly not overpowering bottle big could last year honest want say one perfume love celebrity came time smell tacky cheap smell like nothing thereits flowery citrus smell sweet smelling not tangy love lovely would not suggest early teen though child woman scent cry 18 love try opinion could opposite would think look cannot complain scent different really preferred scent others ordered even sarah jessica parker scent dawn time perfume scent not last may last 15 minute top not know manufacturer time figure not order product truly believe every woman 34signature scent34 mine light slightly exotic dayornight layer light refreshing scent perfect rough tumble week sampling number sweet scent du jour wd love escada moon sparkle b fantasy j fancy halle angel starting wondering ought go get bottle liquid confection omg thinking searched fragrance cabinet looking something snap twilightzone sugarrush pulled sjp lovelyyes lovely adult contemporary classic fragrance woman btdt know want life coming olfactory sugar high clearly detect sweetness lovely reasonable level enough satisfy taste sweet scent reacquaintance lovely confirmed no need purchase liquid sugar walk around smelling like 45yearold cotton candy thank sjpwhat say lovely not said lovely among best celeb fragrance todate wearable not offensive sampleworthy fullbottleworthy many could called beautiful already taken lovely bit romantic suitable datenights bedtime weekend not office going spray lightly intimate setting heavyhanded public gathering wideopen spacesthank goodness lovely pull closet rediscover sweetness love lovely long long time sophisticated sexy elegant scent ask people tend hug lot highly recommended first time ordering perfume internet came quickly got large bottle great cost happy product lovely sarah jessica parker feature breezy top note honeysuckle crisp middle note sunny tangerine sweet base note juicy mango guava lovely exciting blend top note passion fruit light middle note pink freesia leaving sweet base note blackberryhow anyone not love perfume wondering smelling first thought wasive smelled since love perfume tried quite year not take long identify smell like lighter version ysatis givenchy always liked thought strong much lighter airier scent still nice scent sophisticated reason picture suitable mature woman rather young girl using close 10 year not plan stopping anytime soon fiancee love smell much always happy purchasing new bottle run love fragrance lightly layered flower hint chocolate,three star lovely perfect namemy favorite loved since came favorite everyday perfume beautiful smell smell pretty love scent irresistible lindam good scent not 30 woman floral fragrance rival parisian parfums truly lovely fragrance right headachingly strong lovely scent mature woman not impressed romantic perfume one not tire wearing lovely keeper overrated lovee truly lovely not lovely lovely smell perfume go away quickly fuss like paris springtime not bad oprah love think good nose know classic scent mature woman soft feminine lovely amazing fresh floral lingers great value bought wife delicate warm love pungent smell like sour breath classy scent not lastunbelievable signature scent pleasant plasticky love lovely fast delivery whether enjoy lazy day beach wild night urban jungle love exciting fragrance nice not simply lovely,3,"Lovely by Sarah Jessica Parker for Women, Eau de Parfum, 3.4-Ounce Spray Bottle",Fragrance,"Brand


Sarah Jessica Parker




Scent


Lovely




Ingredients


Mandarin, Rosewood, Lavender, Apple Martini, Patchouli, Paperwhites, Orchid, Cedar, White Amber, MuskMandarin, Rosewood, Lavender, Apple Martini, Patchouli, Paperwhites, Orchid, Cedar, White Amber, Musk

See more





Item Form


Spray




Item Weight


3.4 Ounces",18.81,4.4,6149
42,42,B000GIOBY2,0.4,0.6,tiene muy buen olor bought husband not good sexy kind scent strong not complimentary thought id give try stick paris hilton awesome 1 sorry guess bought husband yes like people said last day faint not much manly smell not getting one go man cologne like tim mcgraw usher not worth cost ok fresh cleanbut price get much better fragrance either nautica davidoff perry elli sun java thallium not buying sure great smelling citrus top note get compliment throughout average longevity projection great work scent subtle citrus beginning end little synthetic smelling tolerable surprised coming lower end designer scent not get many compliment due average projection overspraying creates cloying mess great purchase price love find awesome cologne not expensive great fragrance would awesome gift several year ago dad received cologne gift close friend father not huge fan cologne gave prior product no experience guess cologne let alone guess general not know expect tried anyways cologne smell wonderful strong dominant scent usually not fan strong scent girlfriend love hey must wear even though not prefer cologne much strong however receive ton compliment average person scent cologne appealing duration cologne kind unbelievable sometimes girlfriend wear shirtssweaters usually call 23 day later informing clothes still smell like cologne retail store product go 3540 dollar edge deciding wether get product not say go price amazon cheap good colognehopefully helped let know question comment thanks reading use cologne great find amazon great price definitely get money worth saving shopping high dollar chain store,four star not fan ehhhh better choice price guess guess love great like size,4,Guess By Parlux Fragrances For Men. Eau De Toilette Spray 2.5 Oz.,Fragrance,"Brand


GUESS




Scent


Guess (New), Guess




Item Form


Spray




Item Weight


2.5 Ounces




Item Volume


2.5 Fluid Ounces",21.38,4.5,1456
48,48,B000P20RAQ,0.0,0.0,este perfume encanta sweet smell like overpowering put lotion arm one spray could give headache time go easy stuff muy bueno para que la mujer quede con un olor una fragancia muy agradable seductora para el hombre not expected like lot thought id spray smell bakery instead get sweet floralfruity smell soft blend nicely nothing really stand particular not notice cupcake light pleasant fragrance enjoyat first spray wonderful twenty minute smell something spicy like pepper not like not last long thankfullythe dry lovely warm vanilla maybe detect little white chocolate point love dry worth wait cannot even describe amazing perfume smell get constant compliment wear even daughter come room spray daily go school already ordered two bottle not want run hi fantasy brittany spear combo collection great bathe shower gel put lotion put perfume andfantasy britney spear woman set eau de parfum spray 33 ounce body lotion 33 ounce shower gel 33 ounceits great stuff,five star nice smell strong fantasy britney spear woman sweet not like bakery omg perfume smell amazing fantasy,5,"Fantasy by Britney Spears for Women, Set (Eau De Parfum Spray 3.3 Ounce, Body Lotion 3.3 Ounce, Shower Gel 3.3 Ounce)",Fragrance,"Brand


Britney Spears




Scent


White Chocolate, Orchid, Quince, Kiwi, Jasmine , Musk , Lychee




Item Form


Spray




Item Weight


1 Pounds




Item Volume


100 Milliliters",40.0,4.7,343
49,49,B000C1UD4K,0.6,0.8,great summer fragrance fresh clean always whether man old young athletic arm chair observer great day time fragrance light enough also nice evening well not turn remains true tried cologne 12 year ago used long time forgot remembering old time decided buy amazon surprise really shocking good remember old time even enjoyed orginal not copy arrived good conditionprobeacute esta colonia hace maacutes de 12 antildeos la useacute por mucho tiempo luego la olvideacute recordando viejos tiempos decidiacute comprarla por amazon la sorpresa fue impactante e bonito recordar viejos tiempos auacuten maacutes cuando los disfrutado colonia original no e copia llegeacute en buenas condiciones bought husbandit smell good woodsy not like someone rubbed pine air freshener almost spice smell soft citrus toneit manly sexyi not usually use word review cologne sexy masculine smell really love husband wear clinique happy meni would recommend product ready smell amazing clinique happy men great scent one favorite probably sneaking top 10 collection exceeding 300 bottleshappy clean fresh fragrance citrus base note following initial application essence smoothes easygoing fragrance not overbearingwhile fragrance citrusbased scent happy definitely unique would hard make comparison perhaps cross diesel brave aqua di armani may provide ideamy review generally consider following area pricevalue appealsmell wow factor compliment longevity uniqueness best time year worn occasion easy nose bottle eyesthe real beauty happy scent uniqueness price moderately set expensive maybe le packaging design bottle appearance unremarkable nothing special therei worn fragrance not receive unsolicited comment ie wow factor girlfriend however inquire last night fragrance wearing added smelled great work given citrusy base note fragrance happy probably spring summer fragrance although would no problem wearing anytime year occasion comfortable skin rightmy real concern fragrance longevity measure review critical element especially fond applying moderate amount fragrance morning prior work lasting day without reapplying happy last longer weaker side following six 6 hour body chemistry life style may different mine lovely desk jobi give clinique happy men 44 star 5 underrated cologne arena definitely recommend adding collection bought gift made hit youngest son 45 year old could rate cologne wonderful distinctive scent id give 5 heartbeat sadly always bit costly care scent fade rather fast blow bottle pretty quickly said still one best smelling cologne find got son part christmas present happy getting future,love light sweet fragrance strong men totally loving good memory mmmm yes happiness endures five star love love love way smell happy,5,"Clinique Happy for Men Eau de Toilette Spray, 3.4 Ounce",Fragrance,"Brand


Clinique




Scent


Aromatic




Ingredients


Water/Aqua/Eau, Propylene Glycol, Sorbitol, Dimethicone, Stearyl Alcohol, Behenyl Alcohol, Behentrimonium Chloride, Ethylhexyl Palmitate, Pentapeptide-29 Cysteinamide, Pentapeptide-30 Cysteinamide, Tetrapeptide-28 Argininamide, Tetrapeptide-29 Argininamide, Hydrolyzed Keratin, Cocodimonium Hydroxypropyl Hydrolyzed Keratin, Simmondsia Chinensis (Jojoba) Seed Oil, Hydrolyzed Algin, Sea Water/Maris Aqua/Eau De Mer, Chlorella Vulgaris Extract, Isopropyl Alcohol, Aminopropyl Dimethicone, Steartrimonium Chloride, Sodium Citrate, Citric Acid, Peg-90M, Peg-6 Methyl Ether Dimethicone, Iodopropynyl Butylcarbamate, Peg-4 Laurate, Stearyl Dihydroxypropyldimonium Oligosaccharides, Dmdm Hydantoin, Sodium Hydroxide, Limonene, Benzyl Benzoate, Fragrance/Parfum, Ext. Violet 2 (Ci 60730), Yellow 5 (Ci 19140), Blue 1 (Ci 42090).Water/Aqua/Eau, Propylene Glycol, Sorbitol, Dimethicone, Stearyl Alcohol, Behenyl Alcohol, Behentrimonium Chloride, Ethylhexyl Palmitate, Pen…

See more





Item Form


Spray




Item Weight


0.45 Grams",46.82,4.8,3073
50,50,B000C219QA,1.4,2.6,nice fragrance not subtle not bold eithera nice balance love amazon better price cologne several online perfume shop checked appears genuine article love scent girl big fan manly clean tried various cologne ralph lauren safari farenheit calvin klein cologne refreshing scent not overbearing overpowering last throughout day frequently receive compliment using itit come dark blue glass bottleit retail 60 purchased mine amazon included shipping fraction price retail store no free tote bag free umbrella great price love cologne husband pretty picky cologne try buy large size tend last longer pretty good priced bottle one top 3 cologne husband wear cool water hugo bos daily basis scent masculinely yummy axe not got nothin lol believe allot people reviewing not many fragrance automatically drawn pleasing grapefruit opening creation ralph lauren definately one bestalong double black go aquatic scent average projection longevity subpar best around 60 bottle growing one collect dust along sibling house could find way increase longevity edts would fighting chance seems everyone cologne subpar scent life blue de chanel remains cream crop aquatic collection woman go crazy stuff first last bottle polo cologne not matter woman around world not like synthetic smell give daughter wife headache want puke smell never polo black gotten attention blue no slouch appealing sens opposite sex either sweet not overpowering still like black better lady like one collector cologne one favoritesits light clean fresh scent initial spray chorus citrus dry nice suitable wear anywhere,love good quality good price great scent cologne smell soooooo goooood hubby polo blue woman hate smell great scent wonderful scent,5,"Polo Blue by Ralph Lauren for Men, Eau De Toilette Natural Spray, 4.2 Ounce",Fragrance,"Brand


RALPH LAUREN




Scent


Polo Blue, Ralph Lauren




Item Form


Spray




Item Weight


10.4 Ounces




Item Volume


125 Milliliters",63.31,4.7,3411
85,85,B000C234DQ,1.0,1.4,purchased husband father day love definitely recommend others try smell exactly like one bought department store definitely legitimate real love smell smell good men tried various cologne different occasion one span across work wear evening wear not overpowering last good even washing shirt still lingersit not one musky scent man would accustomed definitely new age scent one get accustomed quickly start receiving kind compliment great scent bought whim bf turned great little surprise wonderful pearlike scentvery fresh clean think work woman aka lol got perfume husband woman version love smell lady perfume got complimented whenever wearing urged husband use finally first comment made wow smell terrific good bargain size smell pleasantly surprised celebrity scent cucumber note smooth linear pleasing longevity great projection average woman enjoy scent receives ample amount compliment oversprayed suprisingly nonsynthetic well blended potent edt not even worth look retail price expecting much le still prefer paris line better alright cheap cologne guythis staying power would say 2 hour maxok price amazon smell average nothing special,great everyday scent husband sniff check five star great simple scent anytime great scent surprise smell terrific paris hilton man ok cologne man,5,Paris Hilton Man By Paris Hilton For Men. Eau De Toilette Spray 3.4 Fl Oz,Fragrance,"Brand


Paris Hilton




Scent


Paris Hilton, Paris Hilton




Ingredients


Fragrance




Item Form


Spray




Item Weight


0.1 Ounces",23.49,4.7,3239
87,87,B000C1UAY8,0.7,0.8,friend often wore holiday event always loved fragrance particular strong perfume shave nauseate finally bought bottle alfred sung year ago friend bought xmas recently ran bought bottle amazon still love identifying fragrance scent uplifting least decent longevity bargain price wish edp use wear long time ago not remembered actually like different fragrance alfred sung called jewel nice floral scent loos strong scent quickly perfume hang least little day one not great brief hour scent omg must bye perfume real last hour not guess go head get shipping fast befor time safe pack thank perfumesworldamazon order sure perfumesworld soon loved fragarance year teen called rich lady fragrance nicknamed money power respect scent command attention oh poopers hoping greenwell sung green not kind green sung bright fresh spring green girliegirl green wearing frock made frugly drape singingsoundofmusicinameadow green sung kind green immediately disqualifies kind greensung open lov scary could cotys mugeut de bois lov enveloping lovely perhaps perfect kind green lov mine isntwow lov not go away sensitive many white florals sung asthmainducing love alfred sung not namesake perfumethe bottle simple line gorgeous hand black plastic integrated spray top not much cheap tackythere perfume critic say woman not smell like flower sung bed lov nuf said sister favorite perfumecologne not find discount store community found discount amazon happier sister thing fragrance always get compliment whenever wear enjoy long lasting scent husband know love perfume always notice wearing perfume many bottle year try many different brand always come back one,third bottle classic white floral actually like different fragrance alfred sung called jewel floral strong loos scent quickly must bye smell good elegant not kind floral favorite amazing,3,"Sung by Alfred Sung for Women, Eau De Toilette Spray, 1-Ounce",Fragrance,"Brand


Alfred Sung




Scent


Alfred SUNG, Alfred Sung




Ingredients


Perfumed alcohol, water, essential oils, natural ingredients




Item Form


Spray




Item Weight


0.12 Kilograms",5.66,4.7,2975
112,112,B000VOP7YO,0.3,1.0,searching searching best price fragrance best price adore fragrance always get compliment wear highly recommend woman definitely make feel smell great one favorite perfume decided buy first perfume amazon great idea saved money time wet smell perfume completely different dry make sure try purchase thought wanted toilette compared loved parfum slightly musky still feminine smell incredible enjoy subtle wonderful fragrance one try staple several year not strong overbearing scent smelled originally magazine sample fell love made mother buy lol though smelled good first day got sickening since unusual smell wish would gotten small bottle smell weird really really weird think note floral smell like plastic fragrance described musky cannot smell bit musk using not pleasant experience needle say not againthis one situation really sad scent many see sophisticated not work purchased lovely fragrance wear special occasionsand buy soon scent choice fell love perfume get better wear scent get nicer stay throughout day find whenever wear get ton compliment perfume perfume wear day day definitely worth price favorite parfum several year stay whole day get compliment worn good pricing fast shipping,great fragrance great price lovely perfume five star always favorite like not work love best narciso rodriguez narciso rodriguez 33oz 100ml edp spray,5,"Narciso Rodriguez By Narciso Rodriguez For Her, Eau De Parfum Spray, 1.6-Ounce Bottle",Fragrance,"Brand


Narciso Rodriguez




Ingredients


Pink Pepper Lavender Patchouli Violet Amber Woody Accord




Item Form


Spray




Item Weight


0.1 Kilograms




Item Volume


1.6 Fluid Ounces",65.6,4.6,264
