,asin,name,category,description,price,rating,No_of_Rating
0,B000PHP86E,"Green Cream Retinol, Level 9, High Potency, Airless Pump, 1 Ounce",Skin Care,"Item Form


Cream




Brand


Advanced Skin Technology




Skin Type


Acne Prone




Skin Tone


All




Item Volume


30 Milliliters",$55.00,4.6 out of 5 stars,192 ratings
1,B000PHP8L4,"EltaMD UV Lotion SPF Zinc Oxide Full Body Sunscreen Broad-Spectrum SPF 30+ Moisturizing Sunscreen Lotion, Non-Greasy, Sheer, Sensitivity-Free, Fragrance-Free, 7 oz",Skin Care,"Ingredients


Active Ingredients: 7.5% Octinoxate, 7.0% Zinc oxide Inactive Ingredients: Purified Water, Petrolatum, Isopropyl Palmitate, Octyl Stearate, Glyceryl Stearate, Cetearyl Glucoside, Dimethicone, PEG-100 Stearate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyisobutene, PEG-7 Trimethylolpropane Coconut Ether, Sodium Hyaluronate, Tocopheryl Acetate, Polyether-1, Citric Acid, Oleth-3 Phosphate, Phenoxyethanol, Butylene Glycol, Iodopropynyl Butylcarbamate, Triethoxycaprylylsilane.Active Ingredients: 7.5% Octinoxate, 7.0% Zinc oxide Inactive Ingredients: Purified W…

See more





Scent


Unscented




Product Benefits


This full-body zinc oxide sunscreen with broad- spectrum coverage protects against UVA and UVB rays from the sun.This full-body zinc oxide sunscreen with broad- spectrum coverage protects against UVA…

See more





Sun Protection


30+ SPF




Item Weight


7 Ounces",$37.50,4.7 out of 5 stars,"1,438 ratings"
2,B000PHRIYE,"EltaMD UV Facial Moisturizing Sunscreen Broad-Spectrum SPF 30+ with Hyaluronic Acid, Non-Greasy, Mineral-Based Face Sunscreen with Zinc Oxide",Skin Care,"Ingredients


Active Ingredients: 7.5% Octinoxate, 7.0% Zinc oxide Inactive Ingredients: Purified Water, Petrolatum, Isopropyl Palmitate, Octyl Stearate, Glyceryl Stearate, Cetearyl Glucoside, Dimethicone, PEG-100 Stearate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyisobutene, PEG-7 Trimethylolpropane Coconut Ether, Sodium Hyaluronate, Tocopheryl Acetate, Polyether-1, Citric Acid, Oleth-3 Phosphate, Phenoxyethanol, Butylene Glycol, Iodopropynyl Butylcarbamate, Triethoxycaprylylsilane.Active Ingredients: 7.5% Octinoxate, 7.0% Zinc oxide Inactive Ingredients: Purified W…

See more





Scent


Fragrance-free




Product Benefits


Moisturizing face sunscreen protects against the harmful UVA and UVB rays from the sun. It contains 7% zinc oxide.Moisturizing face sunscreen protects against the harmful UVA and UVB rays from the sun. It c…

See more





Sun Protection


30+ SPF




Item Weight


3 Ounces",$27.50,4.7 out of 5 stars,"3,307 ratings"
3,B000PHUKEE,"EltaMD UV Shield Face and Body Sunscreen Lotion Broad-Spectrum SPF 45, Oil Free, Non-Greasy, Dermatologist-Recommended Mineral-Based Zinc Oxide Sheer Formula",Skin Care,"Ingredients


Zinc Oxide Tocopheryl acetate Purified Water, Isopropyl Palmitate, Octyl Stearate, Cetearyl Alcohol, Polysorbate 60, Oleth-3 Phosphate, Phenoxyethanol, Cetearyl Glucoside, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyisobutene, Polyether-1, Butylene Glycol, PEG-7 Trimethylolpropane Coconut Ether, Tocopheryl Acetate, Citric Acid, Iodopropynyl Butylcarbamate, Triethoxycaprylylsilane.Zinc Oxide Tocopheryl acetate Purified Water, Isopropyl Palmitate, Octyl Stearate, Cete…

See more





Scent


Unscented




Product Benefits


EltaMD UV Shield sunscreen with zinc oxide delivers long-lasting UV protection against harmful UVA and UVB rays.EltaMD UV Shield sunscreen with zinc oxide delivers long-lasting UV protection against harmful…

See more





Item Weight


3 Ounces




Skin Type


Oily, Acne-prone skin, Normal",$27.00,4.7 out of 5 stars,"2,709 ratings"
4,B000PHVTVC,"Mario Badescu Glycolic Foaming Cleanser, 6 Fl Oz",Skin Care,"Item Form


Foam




Brand


Mario Badescu




Scent


Sage




Skin Type


All




Age Range (Description)


Adult",$16.00,4.6 out of 5 stars,"4,398 ratings"
5,B000PHVU8O,"Sally Hansen Airbrush Shimmer, 4 Ounce",Makeup,"Brand


Sally Hansen




Ingredients


Dimethyl Ether, SD Alcohol 40-B, Water, Tocopheryl Acetate, Retinol, Ascorbic Acid, Phytonadione, Polyurethane-14, AMP-Acrylates Copolymer, Acrylates/Octylacrylamide Copolymer, Hydroxypropylcellulose, Mica, Titanium Dioxide.Dimethyl Ether, SD Alcohol 40-B, Water, Tocopheryl Acetate, Retinol, Ascorbic Acid, Phytonadione, Polyurethane-14, AMP-Acrylates Copolymer, Acrylat…

See more





Skin Tone


All




Product Benefits


Smoothening




Item Weight


0.26 Pounds",$25.99,3.9 out of 5 stars,48 ratings
6,B000PI36W6,Mavala Stop Deterrent Nail Polish Treatment | Nail Care to Help Stop Putting Fingers In Your Mouth | For Ages 3+ | 0.3 Fl Oz,"Foot, Hand & Nail Care","Brand


MAVALA




Ingredients


Ethyl Acetate, Butyl Ester of PVM/MA Copolymer, Phthalic Anhydride/Trimellitic Anhydride/Glycols Copolymer, Isopropyl Alcohol, Alcohol Denat, Denatonium Benzoate, Acetyl Tributyl Citrate, Benzophenone-1, CI 60725 (D&C Violet No. 2). ;;Ethyl Acetate, Butyl Ester of PVM/MA Copolymer, Phthalic Anhydride/Trimellitic Anhydride/Glycols Copolymer, Isopropyl Alcohol, Alcohol Denat, Denat…

See more





Item Weight


1.5 Ounces




Liquid Volume


10 Milliliters",$16.50,4.4 out of 5 stars,"15,451 ratings"
7,B000PILEWA,"Dr. Bronner’s - Pure-Castile Liquid Soap (Almond, 1 Gallon) - Made with Organic Oils, 18-in-1 Uses: Face, Body, Hair, Laundry, Pets and Dishes, Concentrated, Vegan, Non-GMO",Skin Care,"Item Form


Liquid




Brand


Dr. Bronner's




Scent


Almond




Age Range (Description)


Adult




Ingredients


Water, Organic Coconut Oil*, Potassium Hydroxide , Organic Palm Kernel Oil*, Organic Olive Oil*, Organic Hemp Oil, Organic Jojoba Oil, Natural Almond Fragrance, Citric Acid, Tocopherol (*certified Fair Trade Ingredients, None Remains After Saponifying Oils Into Soap And Glycerin.)Water, Organic Coconut Oil*, Potassium Hydroxide , Organic Palm Kernel Oil*, Organic Olive Oil*, Organic Hemp Oil, Organic Jojoba Oil, Natural Almond Fragr…

See more",$57.48,4.9 out of 5 stars,835 ratings
8,B000PIMUR8,"THAYERS Alcohol-Free Lavender Witch Hazel Facial Toner with Aloe Vera Formula, 12 Ounce",Skin Care,"Ingredients


Purified Water, Certified Organic Witch Hazel Ext Blend (Hamamelis Virginiana Extract (Witch Hazel*), Aloe Barbadensis Leaf Juice (Filet of Aloe Vera*)), Glycerin, Phenoxyethanol, Lavandula Angustifolia (Lavender) Flower Water, Fragrance (Natural Lavender), Citric Acid, Citrus Grandis (Grapefruit) Seed Extract *Denotes Certified Organic Ingredient The carefully selected, naturally sourced ingredients in this product may have undergone limited processing.Purified Water, Certified Organic Witch Hazel Ext Blend (Hamamelis Virginiana Extract (Witch Hazel*), Aloe Barbaden…

See more





Brand


THAYERS




Scent


Lavender




Skin Type


Acne Prone,All Skin Types




Item Weight


0.88 Pounds",$10.95,4.7 out of 5 stars,"11,327 ratings"
9,B000PIXLB2,"Ardell LashGrip Clear Adhesive for Strip Lashes, 0.25 oz",Tools & Accessories,"Color


Clear




Brand


Ardell




Package Information


Bottle, Tube




Item Volume


6 Fluid Ounces",$4.73,4.5 out of 5 stars,466 ratings
