,asin,review_2023
0,B001A3ATP2,"Love that you get bunch of bobby-pins in a container! It helps when creating styles, then trying to pull them off a cardboard. When you are done you can put them back into the container. So, the are not all over the place! Alright. So I bought these over a year ago and I'm not even halfway through them! 300 is a lot, but when it comes to bobby pins, it's a LOT. These are a bargain, which is good. They are also cheaply made, which is not so good. I use a lot of bobby pins in my hair daily. I have some baby hairs that I like to secure by criss-crossing bobby pins together. But here's the thing- the black paint chips off of these when I do that. It's a bummer, but for the bargain I got, these can be disposable bobby pins for all I care. I mean, I still have more than half after a year. If you use these without criss-crossing them, you should be fine. Oh, and my boyfriend hates these because, you know, endless bobby pins to find everywhere :) For me, this purchase was pretty simple. Do I buy a pack of 100 for $2.99 on some paper thing, that eventually becomes a poor way of storage, or do I buy a 300 pack that comes with a tub?I purchased the black ones and they work great. Granted, there is a hairdresser in a review below that disagrees with me and you should definitely take her review to heart, in addition to mine. They're coated in sort of a rubbery coating and they stay in my hair. I have very fine curls and they work in my hair as well as my daughter's medium curls. They provide the hold you would expect and appear to be of good quality. I could have a pile of bobby pins as large as mount Everest and that still wouldn't be enough bobby pins. So, I just settle for this great pack of bobby pins instead. I like the size which is pretty standard to the size of an average bobby pin and the price is great for the quantity you get. Some people complained of flaking, and that does occur to a few of the bobby pins  but truthfully it's not much of a problem because I'm much more prone to lose my bobby pins before they are old enough to completely flake off! Bobby pins are a necessity for dancers and cheerleaders and short haired people (which I am) and they work great. Will definitely order again once Bobby pins serve its purpose. However, what I have encountered are the soft ends that are suppose to be securely glued to the harsh ends slips off when removing them from my hair. Almost every morning I typically use roughly 4-6 pins to secure my hair in a soft French roll or to simply push back my hair from my face. They are great little pins but someone (manufacture, maybe) should pay a little bit more attention to the soft plastic ends. I tend to recycle my pins after every use and place the pins back in the container for future use but if the soft plastic ends are no longer there I am one less bobby pin for future styles. At any rate, again they serve its purpose, not all of the plastic ends have come off roughly 5 out of every 10 and it’s a great little tool in any woman’s beauty arsenal. Happy Styling! A few years ago I bought some bobby pins at a boutique in Hong Kong (I think they were made in Japan or Korea) and they are the absolute strongest, most amazing bobby pins I've ever had. I can't find anything that compares since, and unfortunately that includes these. I was hopeful because they get the best reviews on Amazon, and I realize this is a weird item to be picky about, but they just don't measure up to the HK pins. I have thick hair and need tight, flat pins for how I like to style it, and these have more give than I was wanting. Having said that, these pins are similar to most everything else on the US market, maybe even slightly better than what you'd find in Walgreens. And there's LOTS of them, so it's a good bargain. Super good quality bobby pins. I've bought bobby pins at this price before that were so cheap and flimsy. That was not the case with this set. Truly a great value too at this price. I'm a very pleased customer who will totally purchase these again in the future. I've also used these as stocking stuffers because, let's face it, women lose an average of 72 million bobby pins a day! (totally made up statistic, but it feels accurate) And now with the whole man bun trend, you can probably fill some man's stockings with these as well! Bought for daughter. She complains that it doesn't pin and hold hair in place tightly.  It has a tendency to slide off.  I agree.  I use it to pin my bangs back to wash my face, and it doesn't hold it tightly in place like it should.  Still usable and none has broke or was defective."
1,B00099E8ZA,"I have used this often to remove build up from volume adding shampoos. It cleans well. Have used this product for many years. It really removes build up in your hair and you really don't need to use much, a dime size or less. add water and it really suds up.  The price has gotten very high for this product so thank God you don't need to use much. Really makes hair shine and cleans on a whole new level.  Neutrogena products work extremely well, This is a great shampoo. Came as described and it arrived quickly Great for cleansing hair and Removing residue. The scent is amazing Personal Excellent product that consistently performs as expected."
2,B000GFWIOU,"Bought for someone else that loves this product and didn’t have time to pick it up at a salon I use as a styling spray This is my go to hair spray. I love the light hold, which actually works! It’s a fine mist that does not plaster your hair, it leaves my hair looking soft and touchable. I would highly recommend and will continue to purchase this product. Has a great hold but the scent isn’t pleasant.I’ll finish using it because I paid for it but I won’t purchase it again. Makes my hair full.I miss the humidity control they msde I use this product daily.  I love it. Offers a good amount of hold but doesn’t make my hair crunchy. Nice to use as a finishing spray.  Smell is good but not too strong.  Not too stiff after application.  Easy to brush out.  Good price. This hair spray is very nice and holds my hair in place all day at work for 10 hour shift and longer!! I’m just not a big fan of the smell it’s vinegary to me and strong, but it’s worth it to me and will purchase again"
3,B000R87B1Q,"I picked these up to use with my Remington travel hot roller pack. My pack comes with 10 rollers, so this was perfect. My first impression was that these clips are on the thinner side. They feel lightweight. I was afraid they could easily snap with medium amount of pressure. I was concerned about their longevity, but when I began using them, I realized they had to be light in weight in order to stay in place on my head. The hot rollers are heavy enough, and when you have slick straight hair like mine, it doesn’t take much for things to slip out.I have owned these for years now, and not a single one has snapped or cracked. They are all still intact. I don’t find them to be the most comfortable hot roller clips, and I even find myself using the metal pins that my roller set came with. But, in certain areas on the scalp, these work better than the pins. I have a feeling these clips would work well for those with a slight wave to their hair, or even those with thicker diameter hair shafts. If they can stay up on my straight and thin hair, they ought to be no problem for the wavy and/or thick(er) haired individual. bought these to replace the metal single clips, lost when I moved.  They work well for the most part, the one on top of my head in hair towards the front does leave a dent in my hair. They are easy to work with and put in my hair. Since I don't use all 12 of the curlers, a 10 pack was enough They hurt to put in bc they pull on all your hairs getting in, but they have a pretty dang good hold as long as you're putting your roller in the right direction and all that. Definitely worth the money for me bc my hot rollers came second-hand and they didn't have the original metal pins with them, so I needed something to be able to use them at all. I'm comfortable with the price and quality of the product. Good I have fine hair that will not hold a curl for longer than 30 minutes when using a regular curling iron. I don't like using hairspray, but if I did  the curl would last longer but only for a short time maybe another 30mins. to an hour more. What amazes me about these curlers; it only takes me 5 minutes or less to roll my entire head AND I only leave the rollers in for anywhere from 5- 10 minutes MAX and my hair still has curls when I come home after working 8 hours and zero hairspray. My hair always looks shinier and healthier when I use my rollers.  My hair has bounce and body and yes curl all day.  I love the way my hair feels. This product just blows me away. Every hair salon in the world should use these. They leave no marks in your hair like a curling iron barrel does. It's super fast, and you can add either just great body to your hair in just minutes or very curly curls in as little as 10 minutes. My hair is even more easier to style with the bounce and curls I get using different size curlers in different areas of my head. This is something you can't achieve using a curling iron unless you have 4 different size barrels heating up at one time. Who does that? I  gave away every curling iron I own. I won't use anything else on my hair - if I have to style it,  I have recommended these to anyone who asks what I use on my hair to get the curls I get and I am asked often!! Like many of the other reviews, I too, wish they had 30 clips for the 30 curlers but I purchased 15 extra clips when I purchased the curlers and even though I had to buy extra clips to match the amount curlers supplied -since they only give you 15, I STILL THINK THIS PRODUCT IS WORTH EVERY PENNY PAID and WORTHY OF 5 STARS!!!! Love it Love it Love it! I have an ancient 12-piece set of the jumbo (1 1/2"") and super jumbo (2"") Conair rollers. I lost the clips so I got these to replace them.  I also wanted to order a second set of rollers but was leery of the poor reviews about the clips.  I am Korean with waist length hair with layers in the front from about my collarbone down.  I have a LOT of thick Asian hair.  These worked just fine with the rollers and my hair - the rollers did not budge.  I was careful not to overstuff the rollers and to make sure I set the clips so the top part was facing up from the roller not hanging down off of it (which is the opposite of how I uses the metal u-shaped clips that originally came with this set - those I like to use poking up, not down). My hair is pretty porous so I do not leave them in very long.  They did leave a slight crimp if they were not set close to the head or completely wrapped arond the roller  and I could see how they could easily get tangled in finer hair.  So maybe if you have smaller rollers and/or very fine hair hair you might be happier with traditional u-shaped clips.  I docked one star because they seem a little flimsy and I think $11 is a little steep for the what you get.  I am about to order a second set of rollers and a second set of clips (remember I have a set of 12 rollers and these come in a set of 10) - a little overpriced but still cheaper than a single professional blowout.  Overall I was pleased with the purchase. Love them! These clips worked perfectly on my hot curlers."
4,B001ET78CE,"I absolutely love this hairspray. Reasons I like it:- Good hold. I can add more to make it hold more, or just do a light dusting.- Doesn’t contain parfum or parabens. It does have a light scent but the ingredients are good.- Washes out fairly easily with a little water.- I’m often too lazy to wash the hairspray out, and so just end up sleeping on it. It actually kinda absorbs into the hair and makes my hair feel good in the morning. My hair style is a set..this product performs well. I have used it for several years and am satisfied with it. I love that this is a clear non-aerosol hair spray and holds my hair in place even whena bit windy, which is often where I live. I've using the GIOVANNI L.A. Hold Hair Spritz for over 10 years. Great hair care product that doesn't require a lot for great holding power! I love this organic hairspray because I don't feel like I'm inhaling chemicals when I use it. It also holds my hair fabulously. Highly recommended. Organic…and even with my thick hair I can easily style my hair with all their products. This product is my favorite hairspray. It has good ingredients, is not too sticky, and the container is light weight. Very nice spray at a good price. It is lightbut works.👍"
5,B00152A0OI,"Loved the smell I bought these as a slightly cheaper option to my normal purple shampoo and conditioner (Naissant Blonde Pearl shampoo, it's the best but more expensive!). I would say I like this version better than the other Joico Color Balance one I tried, but it's not quite as good as Naissant.Pros: It seems just as effective as my favorite brand the day of use and leaves a nice ash shade. It also doesn't dry my hair out as badly as other brands.Cons: It doesn't last...like...at all. I have thin hair, so not shampooing at least every other day is not an option for me. I use a color safe shampoo and this still washes right out after 1-2 washes. I feel like I have to use this 2-3 times a week to really make a difference between colorings. That's a lot of product for very temporary results. Boo.All in all, I will probably keep this on hand for those really sad color days when my hair needs a bump of love, but I am too lazy to tone yet. This is the absolute best sulfate free violet shampoo. I am allergic to sulfates and its hard to find good shampoo without it.  Leave it on too long and your hair WILL be blue. lol  I have had hair that ranged from white blonde to the current popular gray & this shampoo and conditioner has kept it from turning brassy.  I swim twice a week in a heavily chlorinated pool and my hair is never brassy.  I also use this twice a week. I leave it on for approximately 5 minutes but you have to adjust based on your needs.  If for some reason you make your hair too blue just use some regular shampoo w/ baking soda mixed in and it will come out.  Or wait a week and it will fade.  Also, the shampoo does not affect darker hair colors. My roots and the front of my hair is black with a smoky blonde everywhere else and only the blonde is affected by the shampoo/conditioner. I have noticed that it will NOT remove brassiness from darker blonde colors. I am transitioning from dyed brown to letting my natural silver grow in. I have bleached/toned the dyed hair to blend in with the incoming silver. While this keeps my gray/bleached hair from going brassy, it is quite drying and I find that I have to use a deep conditioner along with it. I wash my hair 2 - 3 times a week. To keep it from getting over toned, I would suggest alternating this shampoo with a deep conditioning shampoo/conditioner every other time, if you shampoo frequently. This shampoo works best if you have processed hair with a violet/ash tone. It does work ok if you have a blue/ash undertone, but a shampoo that is blue/violet would work better for that. All in all, a great product, just a bit drying - but a deep conditioner takes care of that. This shampoo is so amazing! It keeps my hair a cool blonde and cancels out any “brass ones”. The pumps in the package were a pleasant surprise because large bottles can be bulky to dispense when turning over in the shower! The smell is sweet and the product leaves my hair soft! My biggest secret is applying to DRY hair for 15 minutes and then hopping in the shower to rinse it out! I see better results this way! Love joico! I am also pregnant and I haven’t dyed my hair in months! This is a life saver! I LOVE this Joico shampoo and conditioner for my color treated hair.  My color doesn't fade and lasts a long time.  It smells great and the conditioner leaves my hair silky soft.  This is by far my favorite shampoo and conditioner! I have fine hair with blonde highlights and lowlights.  I love the shampoo and conditioner.  High quality, nice smell, doesn't weigh down my hair, and it enhances the blonde.  I just switched to this at the recommendation of my stylist.  I highly recommend! My wife loves your product and it makes my life better because I get to shampoo/rinse her hair.  Used to be your bottles always came with pumps which also made my life better because a big heavy bottle can be a risk to toes when you're in the shower, especially if you have to invert it to get shampoo or rinse out.  I was pleasantly surprised to see a picture of a bottle with a pump but  reality bites when the product does not match the picture, yep, no pump.  Do the right thing, bring back the pump and save my toes from possible harm."
6,B000BIXP30,"I've been using Bain Volumactive Shampoo for Fine & Vulnerable Hair for several years and have done 95% of my ordering of this product from Amazon.  NOTHING compared to the performance of this shampoo and I tried even the most expensive products out there.  For me, it's worth the price.  No other shampoo gave me the beautiful soft volume for my fine, static, sometimes frizzy long hair.  I only seemed to have good hair days with this shampoo.  Enter Bain Volumifique, the replacement for Bain Volumactive.  I thought, ""Great, another one of my most valued products reformulated.  I'm going to be very disappointed yet again.""  Sigh.  I went ahead and ordered the new formula and braced myself.  After my first use, I wasn't as disappointed as I thought I would be.  The new formula doesn't leave my hair as soft and voluminous as the original formula.  Volume and softness don't seem to go together with the shampoos that I've tried.  But with the original formula, the impossible was achieved.  Anyway, the new formula was actually good, I was fairly satisfied with the volume, but wish it left my hair with more softness.  Here's the million-dollar question:  Why do companies discontinue or reformulate (not for the better) products that their customers obviously love and don't want changed?  Why? Why? Why?  By the way, I ordered the 1000 ml (34 fl. oz.) and my shipment arrived in poor condition.  The box was almost ripped open and the shampoo leaked a bit.  Given how expensive this shampoo is I think better care should have gone into the packaging. I love the way my hair had volume I have long LONG fine blond hair- and am always looking for and trying new shampoos promising to volumize - and they're usually a joke. Until this product! Actually makes my hair feel and look 3x thkcker!! I wash my hair 3 times a week with it- but do mix in a little of John Frieda's Purple shampoo to help keep my hair a nice blond -and to help add a little moisture; as this shampoo can dry out your hair just a little ( thus the four stars instead of 5 :) ) This is an excellent shampoo - one of the best brands in the field that is usually only available in salons.  Volumizes without being gummy or drying. I had a Rock Band back in the 70's in high school and college, and always liked the longer hair look of the Beatles, Stones, Zeppelin era. Now that I am almost  60, I think I would not mind getting old at all if my hair  would not get any thinner and look as good as Paul M's. lol  I have been using Biolage Hydrating shampoo for 20+ years.  My hair is very fine, and scalp dry, with some dandruff, and started thinning when I was in my early 40's.  I found if I shampooed, used a tiny bit of their conditioner, and rinsed with cool water, then blow dry, my hair looked thicker for most of a day or evening. If I just rinsed with water the next day, it would not blow dry out as full.  Also by washing my hair everyother day it controlled the dandruff.  I am always trying new shampoos when I hear about them, looking for something better than the Biolage.  THAT is why I ordered the Kerastase, after hearing some older ladies at the place where I get my hair cut rave about it.RESULTS:  I used it for 2 weeks, and gave it to a girlfriend.  After washing and blow drying both with and without conditioner, my hair was NO FULLER than with the Biolage, which is HALF the price.  Also after only a  week of use, my hair and my scalp were dryer, and dandruff more noticable.  IMHO, all the shampoos marketed by these big companies like Loreal, Garnier, Pantene etc. all have the same basic chemicals, they just change the color and perfume, rename it and then launch a huge Ad campaign and sell millions till people realize its the same ol SH**.  I went back to my hydrating shampoo, but with two changes that seem to have helped my volume and thinning.  1. I now use a product to spray or massage onto the ends of my long hair to help protect it from sun damage and split ends during the day,(I am outside playing a lot of golf) and help to gently comb out the tangled split ends without pulling hairs out with my brush after I get out of the shower. I like two products for this so far, the Biolage leave-in-tonic, and another called Biosilk when my split ends are bad. 2. I picked up a Magic Wand massager several months back, on a lark, to try for my tennis elbow.  It does not seem to have had much effect on my tennis elbow, but I discovered it  leaves my scalp tingling after about 5 minutes.  That must help with the blood circulation a little, because my head itches less, and seems less dry.  I also am noticing my hair seems thicker the last few months because I am pulling less of it out when I brush thesplit ends with the tonic applied, and also less falling out because of the scalp massaging with the wand.  This makes sense to me because the products using Minoxidil really just dilate the blood vessels.  Hope this helps another old rock-star out there.  :)  leave a comment if you have a similar experience. I bought the Kerastase Volumactive Volumizing shampoo hoping to see the advertised results. I have normal hair strands, but they lack volume, so after trying this shampoo for 2 times, I could already see results: the hairs are fuller, and they seem healthier. I used to wash my hair every 3 days because it became oily, and now it lasts 1 week without seeing the greasy hairs.I use it in conjunction with its conditioner, so that may be a reason for such a big improvement in the way my hair looks and feels. It is recommended to change the shampoo every once in a while so the scalp/hair doesn't get used to the same environment/chemicals, but I intend to buy Kerastase products from now on. Great brand, products and results. I have fine hair and wash my hair everyday for the clean feeling and the volume. I used many drugstore shampoos and they all make the hair feel dry if you wash it every day. Kerastase doesn't. Even when you wash every day, doesn't feel dry. I also don't like using hair conditioner due to heavy feeling.I have been buying this shampoo on Amazon since years. The price is great. This size bottle will be enough for at least 6 months, so, not on the expensive side of the scale.Totally recommended, especially if you have fine hair. I love this product. It leaves my hair fuller and manageable"
7,B001EWF2SI,"I've went through so many bottles of this. I personally use it on dry hair, for the days when my hair dries frizzy asf. A little bit of this and bam. Problem solved. Don't used to much though!!!! I'd been searching for a product to help my hair throughout the year when I came upon the Bed Head After Party Smoothing Cream. In the summer, my hair gets frizzy from the humidity, making me look like I stick my fingers in an electrical socket, and in the winter, it gets very dry and full of static during the cold, Wisconsin weather. No matter how many conditioners I tried, nothing worked. I started using I'd been looking for a product to add after my hair was dry, like a leave in conditioner but for dried hair. This is it. It calms crazy ends and adds a silky smooth softness. I recommend this product. Use a very small amount on ends. Too much can leave a greasy feel and look. A little goes a long way. It smells great and keeps frizzies away.However the last bottle I purchased through Amazon Bullard Bargains LLC... sent an oily mess. I used this for many years and at 18$ a bottle am disappointed how hard it is to return... I love Bed Head products and have used them for years. This was my first time using this specific product and I really like it. It leaves my hair smooth, soft and smelling great. I do think it's strange that the container looks like a sex toy. I love this for my hair.  I am not sure what they mean by stretch? I gave it five stars because I love the product. The packaging aggravates me.  I got this as a gift which is why I tried it. The bottle it comes in would deter me from buying it myself. But now that I  have tried it I can not go back to not using it. It looks like something else and I cannot understand why it can not be packaged in a better container.  Bright pink is ok.  My hair is less fizzy and does not look wet unless you put too much in your hair. My husband started using it and my daughter. But please change the look of the item. This is definitely a good price as it’s usually much pricier at the drug store. I took one star away because I feel like they have changed their formula over the years. It was originally intended to use in hair “after parties” to get the scent of smoke etc out of hair. Has great scent, and I use it as a finisher on from my mid length to ends to separate and shine. I will also scrunch my ends after using it which makes my not really curly hair curly. This is one of the several products my hair CAN NOT go without. I have used it for two decades now. I have very long thick hair for reference and it definitely smooths defrizzes and makes my hair less poofy. Great to make hair have that second day look. All around one of my favorite products I tried this when a product I was using got discontinued. I was thrilled to find this worked better! I have gray hair which can be dull and dry, I worked in a dab onto wet hair and blow dried. To my amazement my hair was soft and shiny, healthy looking! The most important thing is it’s not greasy and doesn’t weigh down your hair. Remember a little goes a long way. Love this product!"
8,B000BIUGV4,"I believe this product works. I use it to give my fine hair more busy/lift. Been using this product for 4 years & like it better than mouse thickner. This added body and volume to my hair. I spray on hair close to roots, but not on roots  and then dry with styling brush. I’m close to 50 and my hair started thinning this past year. First product I’ve used that adds volume. Hope it continues to be available.  Adds very effective volume to hair. My salon uses BB products and I use them at home and are completely satisfied in meeting my styling needs Love this product as it’s light but works Easy to use thickening spray is wonderful. Never leaves that “dried alcohol look” of some sprays I have used.Truly adds volume immediately after hair drying. Love it. Great for short hair"
9,B001AO0WCG,"I have been using this hair care product for many years it really makes my hair feel smooth takes out my frizz and makes my hair more manageable the only downside to this particular time was I thought I was getting a bigger bottle of the Moroccan oil when it arrived it looked like a little travel size which I guess I should have paid attention to the details in the description of the product, But other than that this product has always been part of my hair care And will continue to be that way for a very long time to come highly recommend I've had loads of problems finding the right products for my wavy long hair.  I've tried many products, some quite expensive. The ones that claimed ""smooth"" or ""shiny"" left my hair limp and flat, and the ones claiming ""body"" and ""volume"" left it frizzy and unmanageable.  Then I read about Morrocanoil Treatment and decided to try it, and I can tell you it is a gamechanger! Finally, a product that is easy to use and leaves my hair shiny, soft, with lots of body, wavy and easy to curl and style.  And my husband even complimented me on how my hair smells! I was concerned it would make my hair greasy, but even though it feels a little oily on my hands before I put it on, it disappears into the hair once I apply it to my damp hair and comb it in. I use it daily, and a little bit goes a long way. I'll be using this product from now on! I have 4C African American hair and it’s 75% gray. With that being said I use this oil when I flat iron out my hair and on occasion when I’m natural. I just can’t use too much it will weigh my hair down. This product smells so great and makes my hair so soft. I put it in after brushing and before blow drying. My hair is only oily after using this if I put it on my scalp. Just use it half way down your head and you’ll be great! I'm new to using hair oils.  I had received a sample size of this product and loved it so much I came to Amazon to buy the full sized version.  I think this stuff smells amazing.  My husband is not so much a fan of the smell, but everyone is different.  I will continue to use this product because it smells fantastic to me, but also because it leaves my hair incredibly silky and smooth.  I have no issues at all with the pump.  I have fine, thin hair and this doesn't weigh my hair down at all or make it look greasy in any way. It kind of soaks right into your hair as soon as you apply it.  This stuff works great applying both before blow drying and after styling hair.  It also works great on the ends to tame any frizzy ends.  I usually use a pump full at a time that I warm up in between my hands by rubbing them together, and then I run it through my hair.  Any residual oil on your hands works great at softening your hands as well.  Very pricy product but a full sized bottle will hopefully last me a while. The Amazon page indicated that I would get my hair oil plus a new Moroccan body lotion, included for free. The page showed a photo of a nice bottle of body lotion with a pump dispenser. Well, that’s all that was - a photo. The bonus that I received with my hair oil was another photo of the bottle, but the actual body lotion came in one of those little trial packets. (See my photo) Still love the hair oil, though. I've used alot of beard oils and I initially bought this for my hair. However, this is the best product I have found so far for my beard. Manages and tames it, leaves it soft and no oily, greasy residue or unusual shine.The smell is neutral. Not overly feminine and is not overpowering. Classic product that does a great job.  The same product my high-end hairdresser uses.  Helps make my hair soft and manageable."
