,asin,review_2023
0,B0019IVEEI,"Small with a sleeve for product. Helps it from gelling crusted in the make up case. Great travel size. I absolutely love this bronzer. I have had the hardest time finding one that doesn’t leave me with an “oompa loompa” glow. I don’t look orange, it works well for contour as well and I even use it as eyeshadow. I will be purchasing the full size of the product! This is the perfect bronzer not to much shimmer compliments my skin , beautiful pigment and it doesn't take much to apply. This bronzer is great for the price. The size is perfect for traveling. Color pigmentation is on point for the value! Best bronzer ever for contouring and a natural tanned look. Been using this brand for over 10 years. Looks like dirty muddy ashy brown on my skin. Needs a touch of a copper or orangey glow in there. This is a perfect bronzer if you are Olive toned. It has no orange or red undertones and just a nice warmed tan look. I have been searching and returning so many bronzers. I bought the Oliver by the balm first bc it said it had no orange/red but it had a lot of unwanted warmth. Tried this next and i love it! I didn’t realize how the majority run really orange/red. This isn’t a super dark bronzer, but i think you can build up a little bit. I purchased Bahama Mama bronzer from The Balm thinking it was one of the darker bronzers.  I don't think it is.  On my skin, Bahama Mama bronzer is very similar to Chocolate Soleil (from Too Faced).  The Bahama Mama looks darker in the pan, but on my skin they're very similar.  I like them both.  Chocolate Soleil is ever so slightly pinker if used heavily.  And the  Bahama Mama develops a sheen if used heavily over cream or liquid foundation - something that doesn't happen with Chocolate Soleil.  Its not a problem.  I don't have a heavy hand with bronzer.  I use them interchangeably.  Neither one changes color.  Neither one breaks me out.  The biggest difference is - Bahama Mama doesn't smell like chocolate.I've tried Benefit Hoola but that one is lighter and doesn't show up on me."
1,B000WYZ9Q4,"This mascara was bought as a substitute for uber expensive Fiberwig mascara that I had heard and seen great things about.  I also needed something that would ship quick since the event I wanted to do this gyaru look for would be in a week.  Shipping was great by the way, bought it using Amazon Prime and it arrived just in time as promised.Anyway about the mascara, it is really dark, surprisingly dark, especially since I have black lashes to begin with and I had no idea they could actually get darker :p so if you want that in a mascara this has it.What I was really looking for was length though and it did okay.  It wasn't nearly as dramatic as I've seen with the Fiberwig (though I've never tried it myself) but I didn't have the highest expectations so it made for a good start.  Lengthening was really good actually, not as good as I wanted for the look but as good or even better maybe than I had expected.Another important factor to me was to be clump free and this mascara also did well.  It's not the clump-free-est I've ever had (Maybelline's Great Lash is) but it does decently, especially after I run that electric curler through it then it looks really nice.  I also attempted to separate up my lashes with a lash comb but the mascara flaked off :( which really bothered me, I'm glad I didn't have the full face on trying it for the first time since messing with it made it flake quite a lot.  But um, yeah, don't do that and  you'll be good.Overall I actually quite liked it, flaking is the only issue I had and in all other aspects that I've considered it does pretty well and looks especially nice when curled.  It did better than expected and was well worth the price I think, especially with the free two day shipping.  I would indeed recommend this product. I bought this black waterproof version of the formula hoping for the exact thing I lost many years ago when they discontinued Lash Stylist, it might be even better than the one I used before!My eyes don't feel itchy, and my eyelashes have flexibility vs feeling crispy.  I tried this without the use of a eyelash curler to see what kind of lift I could really get and wow.... I just bought two more bottles of this stuff that's how pleased I am!If they offered a comb applicator version of this I would be in heaven.  Still, it works wonders for me, and that is saying a lot since my eyelashes don't like to do much, and now I can hold them upright all day.  I didn't notice any flaking either so that is a huge bonus.I actually ended up sending a link to a friend who also loved and used Lash stylist from way before.  When you're recommending to friends you know its good.  <3I'm trying to understand why this product has some bad reviews, because I honestly can't find any fault with it.  Maybe they tried a different version from me?  Who knows.  I'm pretty ecstatic with my purchase. I read a review (not on Amazon) of this mascara.  Sounded good, so I checked to see if Amazon carries it.  They do, and I decided to try it.  I needed a new mascara, anyway.When I shop for mascara, I check out price, product, performance, and packaging.  I want a product that works well, costs little, and is packaged in a manner suitable for use and preserving the product.  I prefer non-waterproof mascaras, and I like lots of length and volume.  In other words, I'm demanding, and not so easy to please.When I received this, I thought at first I'd received old product because it is SO THICK, it appeared to be dry.  Usually when you open a new mascara, you'll see a bit at the end of the brush you need to wipe off before you start applying it.  No, that wasn't there.  I started putting it on anyway, and SHAZAM!  It does add incredible volume and length, plus, if you twist the wand upward and outward, it adds great curl.  At first I thought, oh, I have too much of this on, but the curl softens a bit.As far as volume goes, you can get it with Cover Girl Lash Blast in the orange tube, or the L'Oreal or Maybelline volumizing mascaras.  They're very good.  But THIS one gets the lower lashes, too, without clumping.This mascara does not flake or smudge.  Even when my eyes are watery from allergies, my mascara stays perfect all day long.  It will clump if you dawdle when you apply it.  Just go at it with confidence.  You can speedily add layers while simultaneously brushing out any clumps.I'm ordering this, or the lengthening version, again.  I haven't tried the lengthening version yet.  This is a great mascara.  It exceeded my expectations.  The only caveat I offer is that because it is so thick, it does take me a little extra time to remove it.  I dab on some"
2,B00008KA8D,"Luxury of a much more expensive lipstick, both shine and matte..The shine and silky but firm brush on this long lasting lipstick sets it apart-- it does have a truly moisturizing high-gloss option that still doesn't smudge at all! Kiss proof, fabulous. Or you can leave it Matte for a more Maybeline Superstay Matte Ink look-- though slightly more natural and less powdery than that fabulous lipstick.Note: There is not a ton of product in the Revlon color stay, but it is enough that you can use it while it is still fresh and treat yourself to another-- especially if its still under $10.Versatile. And the Endless Spice option is a great natural tone for anyone with pale to medium caucasian coloring and lips that are naturally medium-high pigmented (not pale lips, it would be a touch more dramatic if you have pale lips), if you have darker skin the lipstick will probably read lighter, and if you have naturally pale lips it may pop a bit. It is a rose with pink/brown undertones. I would love to see it on different skin tones but so far have only seen it on mine-- I suspect though that this may be a bit like that magic cranberry color that looks good on most skin tones. Anyway on me it's a neutral with some umph and a feminine flair I love! Enjoy y'all! I am in love with this color.  I've tried at least 2 dozen colors of other brands in search of the perfect pinkish/red  color for a natural look.  Other brand colors were too nude or too bright.  This color is muted perfectly for a natural look.  If you're looking for a natural beautiful color for yourself like I was, search no more!It is smudge proof, quickly dries, can wear matte or glossed -both are a gorgeous look, and the duration for color stay is unbelievable.  I've drank coffee, ate meals throughout the day, sipped cocktails, and the color hardly fades by end of day..  I understand why this is sold in multi packs, which I'll be purchasing next time.My only complaint is there seems to be more gloss than color, and it doesn't seem like a lot.  On the other hand, you only need to apply once a day so I'm good with it.  Ladies, don't hesitate to buy, you won't be disappointed! This is the best lipstick ever. It last until you literally take it off with makeup remover love this have been wearing it for about 15 years I like this stay-on lipstick a lot because it gives good coverage and can serve as an all-day base goat for lip gloss if you want more color or variety than the clear gloss of the product. It;s long lasting without feathering. Just need to apply a gloss throughout the day to keep your lips moisturized. Highly recommend this product! Before kind of full inside this kind of lipstick, but this time small amount, has enough the clear liquid, but the lipstick color is a little As advertised. This produce does stay on your lips for many hours a day/night. Many women today have their lips tattooed for lasting color.  Well tattooing does not last forever on the lips and the color fades.  However, do not despair, this lip color last way longer than 16 hours.  I have put it on in the morning and still have plenty of color the next evening.  Also you can pick from many colors not just one (if you have tattooed your lips).  Love it, but it is hard to find, so get it here."
3,B000H3EOLG,"I have used this foundation for a few years. It is light and natural looking but provides good coverage and really does last into the evening. I have had a professional makeup artist ask me what foundation I use! I absolutely love this makeup… wouldn’t use anything else EVER…. If I could get the right one sent to me!! I have ordered for dry/combination skin but twice I’ve gotten for oily skin!! Come on amazon… I’m a good customer!!!! I've been using this foundation, for year's.  And have no desire to change foundation. This matches my Skin Tone, perfectly. Great product. I have used it for years, but usually buy it in the store. Lately it has been difficult to find my shade, so I decided to order it online. Was supposed to be a two-pack, but I only received one. This was exactly the product I ordered. Love the product received quickly.  Will definitely buy again!! covers smoothly Long lasting"
4,B000H3I3Y0,"I love the soft creamy texture and just a little sparkle. Wears off with a remaining tint and a few shimmering specks. Very pretty. Will buy more Love this gloss! It has a very high gloss and the perfect amount of color This color is a lot different than expected! At first I thought it would be too pale on me and not match with my skin. I have warm undertones and I've a light brown skin tone w/ a brown upper and pink lower lip. Last thing I wanted was to look washed out!! Rest assured, this color is BEAUTIFUL and unique. Absolutely I love it. Great nude lip when you're trying to keep it simple. The texture is VERY slightly sticky but not enough for me to be turned off, and it is buildable. Staying power lasted (for me) about 5 hours. So you may need to reapply it but seriously psssh who cares?! This is now a favorite so I don't mind! The color is so different from any other lip colors I've come across and can be worn casually or with a bold look. I discovered it when I was looking at a Sophia Loren article about diamond face shapes (which I have) and what lip colors go look best with it. I felt like a model when I put this on, that's how much I loved it because it does enhances my features. Surely anybody with any face shape can wear this, however! If you're on the fence about the paleness, I'd say not to worry, and try it! I still have this lipgloss. It is not long-lasting but I still use it once in a while as I hate matte lips, love to put gloss on. Sticky tho, smells nice, I never noticed a 'flavor'. Revlon makes some fo the best lip products on the market. Recommend. Favorite lipgloss for yearsssssss I love the color for this lip gloss however it's not for me. I suffer from chronic chapped lips and I still haven't found a product that works well enough. Because my lips are often chapped, when I apply this lip gloss it looks cakey and gross. I started using Mac lip primer first and that does help. My second issue is the color vs. the color of my skin tone. When I wear the lip gloss it just looks like a clear gloss because my skin is pretty pale. I thought it would still have a bit of a tint to it but it doesn't. I sometimes pair the lip gloss with Revlon's soft nude lipstick, but it looks better without the lipstick to be honest. I still gave it 4 out of 5 stars because the problems I have are specific to me. If you have tan skin and you don't suffer from chapped lips all the time like I do, I think you would enjoy this lip gloss. So this was a great price, the color is nice I would recommend for some one with light to medium skin. This is a neat color to build with and apply over your lipstick our your lip stain. You could have fun with this one, or just use it on it's own since it is sheer enough. The reason I am only giving it two stars is because the safety seal was clearly broken when I received it. I just noticed that someone else made the same kind of statement in a review before. I know this product comes with this seal over it, and when I received it. I noticed it looked like someone just pulled at it but when i looked further I noticed that then seal was completely broken. Oh well not sure if that is why the price is so cheap. Also would like to add that the seller contacted me and issued a refund to me since the seal was broken. Very much appreciated. I have a golden brown skin tone (like cinnamon or brown sugar) and this pink tinted orange is perfect against my skin. Also, my cousin tried it on today and her skin tone is a richer brown almost like chocolate and it looked good on her as well. You can play up the sunny orange with bronzer or gold makeup and accessories or play up the pink accents with soft blush. It has a pretty good lasting power, even when I eat (as long as I eat carefully). Its creamy and has a good layer power as well. It doesn't plump and it doesn't leave a stain. I sort of wish it had a tiny bit of plumping power to make the lips look juicier and more even and fill in the gaps but eh, not really necessary. Another drawback, if layered too much it gets sticky and mixes with saliva and...it just gets kinda gross. It doesn't have any particular smell that I can detect. So overall I would recommend this gloss."
5,B00120IJSC,"I bought one several years ago and I was looking for a replacement, same color, and was glad I found it.  The texture is just soft enough that it draws lines easily, but doesn't break off.  Obviously my previous brow pencil lasted several years and it still worked as well as when it was new.  This one is definitely worth the money. This pencil was everything it said it would be. I love how slim it is and the very fine lines it creates just like a natural brow. The color choice I chose was ash because I have gray in my hair and it just works perfectly for me. The brow pencil keeps its true color. It goes on easy. It stays for several hours on oily skin. It does tend to spread by the end of the day or in hot humid weather. Have not been able to create fine lines with the tip. This is the best eyebrow pencil I have ever used. It’s my second time purchasing. It’s very easy to use and I’m so happy I purchased it. My eyebrows are pretty light so the soft brown goes very good with my eyebrow color. I love this pencil . Such great quality and gives a natural effect. As an older woman, my eye brows are fading. This pencil is perfect for me. My hair is colored and pencil matches my hair coloring. It all looks very natural. The only thing I dislike is I don’t get any type of warning when it’s about to run out. I usually handle this by having a spare. Don’t want to run out. Product is perfect color for my brows (taupe), goes on easily and lasts a long time. It’s my second time buying this product. I definitely love it! I recommend it for sure."
6,B000RGZK02,"Love this foundation.  Have been using it for several years. Moisturizes while providing coverage. Was so happy when I found this on Amazon. Could not find it in any of my local stores. Been using it for years. Great product Stays on all day Wish they’d bring back this version. My fave, wish they didn’t change it. I love this makeup. It's the only kind I've used for 5 years. Highly recommend!! Great coverage"
7,B001126XI4,"This is such a simple product. It works for me all the time. Application ( as long as you keep pencil sharpened), stayability, and natural look can be counted on. I often get lured away , but always have come back to these I've use this Maybelline product for years and at one point I couldn't locate in stores.I do not like the new eye brow products they make now. Was glad to find eye brow pencil that was light enough for some one with lighter hair. I really like it compared to others. Firm and does not fade immediately. Stays on. Perfect color! Matches my medium brown/Auburn hair, stays all day. been using them all my adult life. I love these pencils , used them for years , too many eyebrow pencils are too soft and the color is ugly . These WERE cheap at one time here but $16 dollars?! That’s just crazy! That’s as much if not more than some luxury brand ! I’ve used this for years. I’ve tried others but always come back to this. I have lt. brown hair and use the color blonde. After I fill in with the pencil, I use a lighter brown eyeshadow to set it and it lasts all day."
8,B0010O3URU,"Light and gentle for skin and easy to apply and clean, let's play! Last minute pick for Halloween bash for work. Took a lot of applying to get that white I was looking for, but overall it worked wonders. Smooth & creamy. After it dries it doesn’t smudge much. A great find. Just wasn't right for me. It was the right shade but just didn't look right on....I'm a pure liquid or powder foundation kinda chick...maybe I wasn't doing it correctly? Maybe I'll buy again sometime and try again...? I used this for my joker cosplay. It went on easily with minimal smearing without setting spray. But using makeup remover, soap and water was still very difficult to remove it took a few washes to fully get off. This didn’t feel like costume makeup. It went on like foundation and stayed on all day. It didn’t rub off on everything either. Although the price is a bit too much for a small product like this, It doesn’t feel heavy, easy to spread and blend! I’m a darker tone compared to this so it really popped off the quick goth look I tried to do once I got off work. I’m using this for my Halloween costume this year so I am quite excited to do my makeup with this. I bought this product because I am into the goth look and wanted that gorgeous dramatic look. Unfortunately I was less than enthused with my product. When it arrived and after I opened the package there were beads of liquid on the top of makeup. This did not put me off at first because this can happen if makeup, especially creams, are being transported in changing temperature. The package is also very very small for the price. I applied my toner and my base before applying the white foundation. It didnt look bad, but I had to put on a pound of setter just to make it look good. It was very greasy upon application, and I had to fight to blend it with my blender sponge. When the cream did dry is was not ""velvet"" but powdery and was not laying on my skin in a lovely porcelain but looked like the cheap white makeup you get from a Halloween store where its practically see through even if you put a pound of it on. Sure, it makes you look white, and looks good from afar, but get anyone close up and you look like you put dandruff all over your face. I tend to be on the dryer side of skin types, but I moisturize and have a good routine of skin care.TLDR:Cons: I, am fairly pale already but even I needed to do four passes to get that great Goth white. And even then it sat on my face like cheap horrible clown makeup. I have to use too much of the product to get the desired look. Its greasy upon application and does not dry ""matte"" in the traditional sense, very clingy/flakey looking. Does not set even after applying a ton of setting power, smears for days. Has a green undertone somehow.Pros: You can take nice pictures and look fairly decent, but I would not go out with this look. Marilyn Manson has a better Goth look.My skin type just might not be compatible with this particular brand, and if it works for you thats great! However, if you are on the dry skin side, maybe find a liquid white foundation and go with that as I know I have good luck with them. goes on light, use a sponge and you can make it as thick or light as you want, always a smooth clean look."
9,B000GW16E6,"I bought the shade Natural Medium, which is the shade I've been using in the pressed base for years.  I was hoping this would look a bit less matte on my skin.  The loose base looks darker on me.  I'm going to try to return. One staple in my daily routine! East to apply, smooth finish with flawless outcome. Finally!  found a quality powder which goes on evenly!  I use the golden dark on my olive skin during the summer months.(Be sure to use a good brush for application ☺️)You can use for light coverage or add more as needed.  I will try the bronzer next.  Recommend!! glo-minerals loose powder is the best thing I've found to act as my foundation.  It can be sheer or buildable, depending on the coverage you need. I will sometimes wear it over a tinted moisturizer, but I usually apply it over a primer, and that's all I need. The key is to find the right color, and that may take some experimentation.  I've tried both Golden Dark and Honey Light, which are very similar in color.  For my Caucasian lightly-tanned skin (yellow undertones), Golden Dark is right for me.  In the winter when my tan has faded, I move to Golden Medium. I've tried Bare Minerals, and its fine, but I like this better.  Applied correctly, it will cover as well as MAC, but it is less cakey and more natural-looking. I only wear higher-end makeup, and my goal is to look polished but not ""made up.""  This fits my goals, does not irritate my skin, does not make me break out, and as an added bonus, provides some sun protection. Good coverage and quality. Does not gather  in creases and lines. Premium product.Prefer the pressed powder base but it was out of stock. i ordered a shade way too lite for me and now im stuck with it Product was high quality I tried this make up at Beauty Brands originally.  The assistant helping me applied to part of my face.  When I got home, that spot had much better coverage than my otc makeup.  I like a powder as it is easier to apply without creating a line where I stop.  The coverage is great for my fair skin where I often have redness show through.  I often sleep in my make up, I know this is not reccomended but I do.  And it still gives some coverage the next day until I wash and reapply.  Also wears well with allergy eyes and crying.  I love this make up."
