,asin,review_2023
0,B000XE1ZI4,"I would buy this again. exfoliates and lathers well. Don't think it actually lasted 20 washes though I loved these! I bought one for each of my friends for stocking stuffers. The scent is refreshing yet not overwhelming, and they are soft. Great product!  The moisturizing part of this product works great. It's the exfoliating part that didn't do anything for my rough feet. Still, I like the product because it helps to wash and moisturize my tootsies without feeling greasy or anything. Good product. I didn't smell anything so I can't comment on the scent. Cleans and softens my feet. It will not remove tough dry skin or callouses. More of a daily use to keep soft feet soft. I like the improvement in my feet. I’ve always had dry feet that accumulate dead skin quickly. This sponge with raw shea butter within weeks has been a game changer. Ty I thought it would be a little firmer , but I misunerstood that is was a like a real sponge.BUT IS SMELLS GREAT. THAT I LOVE !So if u want something firmer get a pumice stone or a rasp.It is a good foot wash..If that is what u want , I recommend this. Truth in packaging? Not! Half the size of the package.  Using in the shower, it's soft, scented and cleansing.  I guess for the price. It's not bad!"
1,B000052X9G,"I’m told that for many people, 2 Nullo a day (1 in the morning and 1 at night) work great to reduce body odors. If you’ve new to Nullo you might find it will work different for you. You might need more or less than the standard 2-a-day. Everybody’s body chemistry is different so you’ve got to be patient and test it out for several weeks. I’ve been using Nullo for years, and I take just 1 pill a day, in the morning. Nullo pretty much eliminates my body orders and any, a-hem, bathroom smells. I do use underarm deodorant every other day. But besides that, it’s just Nullo keeping me non-stinky. If I skip a day, usually because I’ve forgotten to take my pill, I can still get by if I remember to take my pill the next day. I find I start becoming a stinky human after 2 days without the pill. Other people I know who take Nullo will become stinky unless they are very strict about taking 2 pills a day. So if you decide to try Nullo out, bemindful of 2 things: 1-Expiriment with the dosage as you give the product a few weeks to work and, 2-It will turn your pooh green. I ordered Devron and nullo. Long story but nullo was delivered elsewhere because we were going to be on vacation when it arrived. Devron came right away so I started taking them. I lost the bottle that sat on the table by my bed. I think it got knocked into the trash can. SO, I started on the nullo. It made me sick but it took several days for me to realize what was causing the upset stomach. I stopped nullo & within 48 hrs, my upset stomach was gone. I had a few Devron in my pill keeper so I've taken them & just ordered another bottle of Devron.The difference in the two pills is Devron are light colored capsules. nullo are dark brown caplets & the dosage says 2 daily. I followed directions. Devron recommends 1 or 2 capsules 2  times per day. I took 2 in the am and 2 at night. It never upset my stomach. Warning: If you've never taken nullo or Devron ~ it changed the color of your stools drastically so don't let it alarm you. I have very strong underarm odor and even with strongest deoderant/antiperspirant available on the market, they seem to offer no solution to my embarassing problem.  Lately,  I have discovered that chlorophyll works for me to eliminate my offensive smell.  I was using another chlorophyll brand supplement which worked very well until I ran out and used nullo as a backup until I could get more ordered. I started taking Nullo and on the second or third day I noticed the oder subsided completely. This stuff works! However, It does turn your stool green. Also, I found that I had to take the pills with food or I would get stomach cramps taking it on an empty stomach. I did fine on 3 tablets per day (about every 2-3 days), for 300-lbs bodyweight. The chlorophyll must be given time to spread through the entire digestive tract, turning all content green. It does suppress most of the fumes, especially the unpleasant ones.You will still have some flatulence, but it should not drive people from the room. (Broccoli clusters should be microwaved about 30-seconds, before consumption, do decrease their bacterial activity in the gut.)A week or so after you stop taking Nullo, your flatulent odors should return with seemingly more volume and heavier odors. (But that experience is subjective, since you have gone a time with very little volume & odor.)(Magnesium supplementation will help your bowels move, if you are prone to constipation. The magnesium allows your system to leave more fluid in the fecal matter, allowing normal elimination. If you take too much, however, you will do like Cartman, in the WoW episode.) I finally found something that eliminates the smell I am otherwise unable to get rid of by any other means, and believe me I've tried EVERYTHING!!  I feel more confident being around others and by watching their reactions it works.  Before Nullo most if not all people would gasp in horror wondering who farted or quietly hold their breathe hoping for fresh air.  I can't explain why I was suddenly struck with this horrible problem, but I can tell you Nullo has made dealing with it much easier and I am not ashamed to go in public anymore.  I wish I would have found this product years ago  instead of suffering in silence and causing others to suffer from the stench.Thank You Nullo! While the product readily reduced the odor of flatulence and BM's to basically nil, I did not purchase it for that purpose. It's active ingredient has been shown to address multiple GI issues, a few of which I have had into my 30's. After roughly 4 days of 1/2 pill with breakfast I am experiencing a solid, regular stool, less (TMI apologies) leakage, and eradication of diarrhea, all with no change in diet. My wife has had similar results as well. Can't recommend enough. This worked pretty nicely but you do have to take it for at least a couple of days before seeing a noticeable effect.  Tablets are tiny and easy to swallow with water.  I found that one tablet a day wasn't enough, so I went to two, which upset my stomach pretty badly.  That's still an improvement over some other brands, where I can't even take one without ill effects.  So now I break these in half (they have a line down the middle and snap easily) and take anywhere from a half tablet to two whole tablets, depending on what I've been eating (garlic, onions, etc), how sensitive my stomach feels, and how many days I've skipped taking it. My son has had problems with body odor from the time he reached puberty.  It doesn't make any difference how many showers he takes in a day.... it is still a problem.  After extensive research on his situation, I believe my son has (by my own diagnosis) what is known as ""trimethylaminuria"", a metabolic disorder.  Just recently I discovered this product and sent it to my son who lives out of state.  After taking Nullo as directed he says he cannot believe how well it works.  Most days he takes only one and some days he takes two (I believe due to his diet).  All I can say is thank you Nullo for helping my son lead a normal life!"
2,B000TUC9AA,"Hubby got this for shower use. He says its a little awkward but he adapted. (We are in an RV and he has a shoulder issue which may be contributing factors) No complaints on the scrubbiness or size. Wish they had model with a longer handle, maybe 22-24 inch long for my use, other than that is the best back brush I have ever had ,  thank you This bath brush will reach down your back, better than any other. I have purchased many that claim to be long. This brush blows them all away. Trust me, Swissco is the best! The brush is well made, but a bit stiffer than I like. I am going to try putting a wash cloth over the bristles when I see use it again.  The handle is a good length. So, what's missing in modern society today is a real back brush for the shower.  This one comes close.If you are looking for a soft brush to caresse the perfumed lotion off of your skin, or to get the beauty powder off of your nether-region, look elsewhere.  If you want a stiff brush for scraping the barnacles off of your back you've come to the right place.  This is a good brush for showering after you've toiled in the fields, or pumped iron all day.It has stiff plastic bristles for some good friction, a nice, big, solid brush head to remove debris and toughen your skin into elephant hide.For some reason, they paired it with a long, thin sloping handle (-1 star).  The handle is too dainty for this brush head.  You can't get the necessary skin-peeling force with a long, thin handle.  It really should have a 2 inch wide by 1 inch deep, hearty handle.  It does have a nice reach though.Overall I expect to break it in over 2 years to get the bristles about right.  Since I won't be pounding railroad ties with it, I expect the handle will hold up.  I'll still be on the lookout for a vintage brush, but for a new one, this is as close as I've found so far.  I got the clear version too, for the other bathroom. The brush is not as stiff as I had hoped but it's good enough. This is my second brush.  My first is still PERFECT after over 3 years but I like to use the brush for my body not just my back and the long handle makes that hard.  I bought this one, cut off the handle and now use it as a body brush in the shower.  The bristles are maybe a bit too rough for some but I like it and they just don't wear out.  SUPER WELL MADE! Should have rubber on handle. Slippery when wet and soapy.."
3,B000MZX6QI,"I absolutely loved this scrub, I was actually hesitating on whether to buy this since nobody else i knew bought it but it was worth it. I usually throw away or end up washing and then boiling my wash clothes to get rid of bacteria but this one has little holes and cleans so well. I do however pop it in the washer sometimes but never the drier. If your thinking about buying this, then do it before you regret. This all has to do with if you want to really scrub yourself.  If you push hard with this it will feel like you are scrubbing with 80 grit sandpaper.  It is long, good for getting to the back, but not great when you are trying to do legs and arms.  Just fold it double or triple.  I like to put a sliver or sometimes the whole bar, in between the layers while I scrub so I get lots of bubbles.  But all you really have to do is make the material all wet first then rub lots of soap on the middle.Give it a few tries, you will get the hang of it.  I wouldn't use it on my face though.  No mater how lightly you push it's still too rough. Needed something harder than a rag but this was too hard for everyday use.Perfect if you need the occasional exfoliation but I needed something at least 25% softer on my skin. The texture and material are a bit abrasive a first but you eventually adapt. It won't strip your skin and draw blood but it might be jarring if you're used to fabric washcloths. You'll definitely feel like you've been thoroughly exfoliated. In my time using it I definitely feel that my shoulders, elbows and knees have become smoother.It holds a lather pretty well when you bunch it up in your fist like a loofa. When stretched out flat, it holds enough of a lather to run across your back and shoulders.I can leave it hung up like a towel after I shower in the morning and it will be dry by the time I use it again in the evening, even in a humid bathroom. It travels well as you can pack it into small pockets or fold it down to lie flatter than any towel. It rinses so well that I haven't needed to run it through the washing machine, yet. Love this product. Now I can scrub my back myself. Absolutely loved this cloth! We’ve had it a few weeks now and it hasn’t gotten that funky wet rag smell. My husband uses it and says he loves that it doesn’t stretch and the roughness exfoliates great! Will totally keep buying it to replace it every other month. I love this wash cloth.  It works so well for making your skin super soft and smooth.  The cloth is pretty rough so if you are super sensitive to scratching you will probably hate it but the texture makes it great for exfoliating.  It is the size of a large hand towel which makes it great for stretching across your back to scrub it (I'm a larger woman (sz28) so it's good for almost everyone) or you could make a loofah or multiple cloths out of it.  I use it one my face also, I barely brush it against my face when I do though because of how rough it is but that is all you need and your face is as soft and smooth as when you were a kid. I started using this in around 1975 in Japan(Nishi-Ogikubo, Tokyo). I have used other look-alikes but nothing replaces it. It was easy to spot what people are using in Sentou(neighborhood bath house), even back then the bright colored wash cloth was very popular, so I went out to get one myself.I have not used this new one yet, so the star rating is for the Salex I have used in the past.(See my photos in the gallery)The material has changed, so did the package. The lady on the front used to have her hair up. I have seen imitations used exact the same photo on their package, that maybe the reason they changed the lady.What set Salux apart from others, other products may have one or some of the characteristics but not all in one,* Invigorating* Generates lots of suds(saves soap)* Long lasting(nearly life time if you don't mind using bad looking ones)* Very hygienic, rinses easily and dries quickly.* Light weight, you won't mind packing it when you are traveling.* You don't have any body part you can't reach and wash with this(as long as it's outside of the body, in case you are wondering)...I see many reviewers got a wrong product from some sellers. They should post the names of those dishonest sellers as well as good ones.I got mine from M.V. Trading Co. and as far as I can see, it's a genuine Salux."
4,B001ECQ5FC,"This is my favorite deodorant and I would have absolutely no complaints if I had known when I ordered this product that the scent I had wanted was on back order. Not knowing that, I ended up having to change my order at the last minute(the last date it was supposed to ship, I was made aware) to a scent that, while it smells good, is not what I wanted or even my second choice in scents that Dove carries.Other than that, I have no complaints. I can't begin to describe how much I love this product. I am a pretty athletic woman, regularly working out, hiking, and taking the dog on long walks. I also work as a Physical Therapist Assistant, so my typical day involves me running around with my pediatric kiddos and performing higher intensity strengthening workouts with my adults patients. Needless to say, I sweat a lot. I had been using Dove Ultimate go fresh Cool Essentials antiperspirant for YEARS, when suddenly it disappeared on drugstore shelves everywhere. I was so disappointed. I have tried so many different drugstore deodorants/antiperspirants (Degree, Secret, Suave, SpeedStick, etc.), and none of them seemed to do the job. I even went the natural route and purchased the Native brand deodorant. I loved the light smell of Native, but after two weeks of routinely using it I got so sick and tired of being self-conscious of my smell, when I never had a problem with stinky pits before. Not to mention, Native left horrible chalk-like stains on my clothes, and some of those stains never came out. I am a regular shopper on Amazon, and after all of my failed attempts with antiperspirants, I figured, ""what the hell, I guess I'll check and see if Amazon carries it."" BINGO!! I bought the 4-pack and it has not let me down. I only have to apply it once a day and my armpits stay clean smelling and dry. No need to apply a ton of strokes (I typically use 3), otherwise it leaves a little bit of white residue. Either way, the residue is nothing like the kind from the others I had listed above. I hope I can continue to purchase this deodorant on Amazon, because the Dove Advanced Care version of this deodorant is just not the same. As long as they keep making it, I'll continue to buy it. This is great stuff...enough said! This is not regular Dove Gofresh (pictured is the older style which we thoughtwe were ordering).  This is the Dove Advanced Care version.  I'm keeping it because the picture inside the listing does show Advanced Care,  works fine for me (but not fo my husband for whom the older version works great).This isn't so much of a problem with the seller (other than they need to update the listing photo, but the mistakewas mine), but just to advise buyers to be aware that this is the Advanced Care version. Without the use of this anti-perspirant/deodorant, my wife would probably smell bad AND have sweaty armpits... Which possibly could result in our marriage crumbling... Which would eventually lead me to start dating again... Which would lead to me having to shell out a bunch of money for a new sports car along with fancy and exotic dinners with women I hardly know. I would have to pretend to like their weird friends and crazy family. I would have to deal with my kids acting up because they don't want a new ""mommy."" By now the divorce settlement had been finalized. Now I'm broke, my awesome sports car gets repossessed, my girlfriend leaves me because I was a lot more fun when I spent my money frivolously, but now I have some serious alimony and child support payments... I have to explain to the kids that ""mommy #2"" is gone... Now they hate me...  My life is in a downward spiral........ All because I didn't dish out a couple of bucks for some simple hygiene products. Do yourself and your significant other a favor and buy this anti-perspirant/deodorant and save yourself money, years of regret and heartache... I should also mention that this Cucumber and Melon Dove has a very pleasant scent and actually works well to keep my wife's armpits dry during the day. I not only recommend this product, I insist on it. BEWARE! Received a completely different item that was listed! An 8-pack of tiny ones instead of a 4-pack of the size listed and they are all labeled NEW FORMULA instead of what's shown in the picture. I specifically was looking for the old version of this deodorant. Also ""MADE IN RUSSIA"" and looks totally different from the deodorant I currently have. Doesn't even list the size.What a scam! I bought this based on the good reviews from other users and because I love the smell of the other Dove products in the cucumber scent. I figured it would smell nice and work like any other deodorant or anti-perspirant on the market, no big deal. It works BETTER than any other product I've used before and it smells fantastic! No greasy feeling when you apply it, no marks at all on your clothes after you apply it, it goes on dry and stays that way. Even in the high humidity and heat of east Texas combined with a day full of chasing dogs and horses around I did not find I had to reapply three or fours into my day. By the end of my day, I still felt and smelled fresh and clean. The Dove does cost more than other brands which at first glance is a negative, but then again in the long run I'm using less of it so it's a wash. (pun intended.) I've been using this deodorant for 2 years now. I am a person that shops by smell when buying deodorant, so other features don't matter much to me. I first got a small sample of this deodorant and brought it along on my vacation. I came back associating my vacation with the smell of this deodorant. It smells amazing and reading the other reviews here, I felt compelled to write my bit in agreement. When I put this deodorant on, I feel like it would last until the end of the day. I would never have to worry about re-application (""24 hour protection""). It gives you confidence and makes you feel good knowing that you smell great, not to mention that it is composed of 1/4 translucent moisturizer (""smoother underarms in 5 days. go sleeveless!"")."
5,B0006FMKB6,"My dermatologist recommended this bath oil to me because I have dry, sensitive skin and don’t usually like using moisturizer because of after effect of greasiness or heavy feeling on my skin. I also typically don’t use oils in the shower due to the slipperiness of the shower floor once the excess moisturizer is rinsed off before exiting shower, but RoBathol is different! It gives me a nice moisturized feeling without excess heaviness, and does Not make my shower floor slippery after use! It is made from cottonseed oil, is unscented so safe for my sensitive skin, and does the job it’s supposed to without all the extra stuff. I would recommend to anyone with sensitive skin and who hates the feeling of heavy cream or oily moisturizers. Love this bath oil for eczema. Its super calming and moisturizing. A little bit goes a long way. When I say we’ve tried EVERYTHING on the market for eczema relief I mean everything. This  was a gaaaaame changer for us! His outbreaks are very minor now and usually go away overnight with a good bath with this in it! I Moved up north after living in Florida for 60 years. My beautiful dry skin took a beating for two years before I discovered this bath oil.The smell isn't that bad, for us extra sensitive people, and it really stops me from scratching until I'm bloody.Yes, it's oily in the tub, however my skin loves it. A doctor told me about it. There wasn't anything they prescribed to stop the itch! This did.  I hope if you try it, it will work for you, as well, as it did me! I 💃🏿 Bought this as my dermatologist recommended it. Use it at night after showers. Product seems to help my eczema/dry skin. I only use it once a day, but my skin is not as red and is smoother. Doesn’t really have a scent that I notice. It does take a little bit to “soak” in so you may have to wait to change clothes, go to bed, etc to prevent getting the oil on something. I will be buying again. Love it. I have suffered from Atopical Dermatitis for 3 years on my face and Body! Vanicream simply makes the best soothing products for skin! Trust me I have tried Truly expensive everything out there to get rid of this. Vanicream Thank you! Actually getting ready to buy another bottle to have in! This truly works miracles! I put some of the oil on around my hairline daily and wow it worked! Thank you Thank you! I absolutely love this bath oil for moisturizing my skin. In the winter especially my skin is so dry, flaky and itchy! This takes care of it all!!! I used to be able to get it at my local pharmacies but not anymore. I have to order it online. Best bath oil ever!!!!!"
6,B000EZOC1O,"Exactly what I ordered and works as expected.  Cleans, smooths and gently exfoliates. Very easy to clean, too. This long cloth can exfoliate everywhere. I do dry exfoliating before my shower then use it with soap (or without) in the shower. Great for my back and legs with two hands and for my upper arms with one hand. I get hairs in my legs that grow straight under the skin. I have to flick them out with a pin or else I end up picking at them with my fingernails and creating bumps. Someone recommended this cloth, but unfortunately it doesn't seem to help the issue. However, I've kept using the cloth every time I shower because it feels good! I was afraid it would irritate the sensitive skin on my legs because it feels very rough, but it actually seems to be helping them be less dry and itchy. I do wish the tag was a loop so I could hang it up securely on my door hooks, but it dries really fast so I don't have to leave it hanging up for very long. Washing with a bar of soap alone always leaves me feeling a bit grimy. No matter how much I rinse, it doesn't really exfoliate dead skin cells, etc. A mesh pouf is ok for exfoliating but 1) you can't scrub your back 2) They fall apart WAY too easily 3) to get a good scrub (as opposed to just lathering your body) you have to hold the pouf in a tight bundle and rub it against your skin 4) it's not really good for scrubbing your face.I came across this washcloth when I was buying a showerhead, it was one of those ""people who bought this, also bought that"" kind of ads. Seeing 4+ star reviews despite hundreds of reviews, it sounded like it was worth checking out. So I clicked, I read, I was still confused. ""It's just a nylon cloth,"" I thought, ""right?"" It claimed to have won some kind of invention award but didn't say what award and that made me suspicious. Anyway, I ordered it since it was cheap and if it did what it claimed it would be worth it.THIS THING WAY EXCEEDED MY EXPECTATIONS. As hard as it was for me to understand the other reviews, it will be hard for me to explain but I'll try... It's great at exfoliating but not abrasive (won't leave your skin red and raw like a cloth washcloth). It's long enough to soap up and get your back (probably the first time since I was a kid that I had a good back scrub in a strictly bathing situation). It won't fall apart like a pouf. It's a lot easier to rinse and get the soap out than a pouf so you won't get bacteria. It doesn't hold water when rinsed like a cloth so you won't have to wait for it to dry--in other words, it's good to go if your hubby or someone else wants to shower right after you. Finally: It's great for your face--gentle but effective. Your face will feel SQUEAKY CLEAN after you're done. All the makeup, blackheads, whiteheads, skin bumps, and dead skin will be washed away but you won't be sore or re-faced. I SWEAR you will be feeling your skin after you're done the first time using it saying, ""wow, that's so smooth!""Are you getting the idea? I don't know if this REALLY won an invention award but it should have. This is a must have for anyone who showers, woman or man (my boyfriend loves it too). This is what I've been waiting for my entire life!.. Which is a very dramatic thing to say for a wash cloth, but it's honestly how I feel; I could preach the greatness of this product for the rest of my days the way some people preach about their religion, it's that good:) I even bought some to give to my sisters and they love it too.With your conventional plastic loofahs, the ones that come at the end of a bamboo brush, even the fancy natural ones that grow on trees, they're just not effective. I always had residual dead skin that wouldn't wash off but I would see on my legs later after I was done drying myself off. I would then spend more time just scrubbing myself in the shower and getting annoyed at the extra time and effort it was taking to really get myself squeaky clean sometimes with very little effectiveness... and I don't have any skin conditions. My skin's actually pretty nice. Now it's even nicer with this! I fold up the cloth so it fits in my hand, douse it with some fancy castle soap and scrub away. I now spend less time in the shower now and my skin feels so dang smooth when I get out.. I absolutely love it. I also read somewhere that this won an invention of the year award (or something like that) in Japan and I can totally understand why.I've been using this product for over 6 months and the only thing is that the edges are starting to fray a little bit.  2 ends are sewn up but the 2 long edges are not.  If I had a sewing machine I would do this myself but so far it's still just as effective to use as day 1, not to mention that I bought this in a pack of 3 so this will last me a while.Another bonus is that it's super easy to pack on trips because it takes up such little space. I swear by those scrubbies that are made of a similar material.  they do a great job of exfoliating and you only need a relatively small amount of bath gel with them.  This product, however, gets that part of the back that just can't be reached with your hand and it does it better than any brush that I have ever tried. I have problems with my shoulders and I can't reach back and around like I need to to wash my back.  Even when using brushes I can't seem to get the leverage to scrub like I want to.  I tried these and I am thrilled!  I wet them, fold them, apply the body gel and squish it into the material.  I then open it up and I scrub my back with it by holding it like a towel when I dry my back.  There is no torquing of my shoulder and it takes no strength at all.  Plus I get a semi massage that feel wonderful!  I gave my neighbor one of these and she absolutely LOVES it!  She is disabled and has a hard time with her shoulders and strength and this does the trick for her as well.  It is more abrasive than those scrubbies but common sense will dictate how you use them. The only thing that I have found is that the gel washes out of the product VERY quickly when the shower water hits it so unless you want to scrape the skin off your body and/or wash with hardly any soap try to use this away fro the shower stream.  On the other hand, they rise out very well! Enjoy!"
7,B000052YJC,"I have used exfoliating facial sponges for years.  I find that my fairly sensitive skin tolerates them much better than harsh chemicals or peels.  My face always feels super clean after use, with the day's grime, makeup and dead skin cells massaged away.I usually use an off label brand but unable to find any, I decided to give this Buff Puff brand a try, despite the higher price tag.The quality of the sponge is great.  It kept its shape for quite some time, lathered wonderfully, and performed as expected.  Lasts longer too, so might even justify the higher cost.  It was just too 'gentle' for me.  For reference I'm a 50+ female.  I will give the 'regular' type a try next time. I have very dry skin and in the winter, it is even dryer. This body buff puff is great for ridding yourself of dry flaky skin! I love these sponges so much. They exfoliate without being too much, yet you can feel it scrubbing still.  Which I like to feel it, I know iits working that way lol I love this buff puff. I use it with a charcoal cleanser on my face daily, and it lasts a good amount of time. The price is pretty good too. There disposable, which I like, though they last way longer then you’re store bought puffs! I have dry skin and prefer to use liquid body wash rather than a bar of soap when I shower. This bath scrub goes perfectly with that as you can use a small amount of body wash and it stays on the surface rather than soaking into a loofah or the bristles of a scrub brush. The exfoliation you get with this scrub is perfect-removes the top layer of dead skin cells (I know...yuck...but truth) without feeling like you are sanding the skin. It is the perfect size to fit in one hand without slipping and it easily rinses out after use. I replace these every month (yay for Subscribe & Save pricing) but you could probably go longer, if needed. I've been using these daily for at least 2-3 years and still give them 5 stars. I love the way it has 2 different sides.  It makes my skin very soft. I would be lost without my Buff Puff, more so for my arms and legs than anything else, but I do very gently use it on my face in a slow circular motion about once a week with a good facial cleanser that suds up to clean and smooth my skin, as well as Biore Pore strips as needed.  The combination really works wonders and makeup goes on so much better. I have always believed It is so important for a woman to use good products from an early age, gently cleaning and moisturizing as a daily lifelong routine."
8,B000I20Q72,"I purchased this scrubber as I felt my back was not as smooth as the rest of my body. This easy-to-use scrubber has made a difference just in the first few uses.  I've had no issues at all with it bunching up of not smoothly going across my skin on the chosen side.  I rinse it well and air dry for a couple of days in between uses.  Great product! Just the right length the right abrasion easy to use, it feels great. It works very well except that it bunches up together sometimes. Works great for my backne! Easy to use , works as it should , reaches hard to get places . I’d buy it again I honestly didn't think I would use this much but now I love it. Good for back or use to scrub feet without having to bend down I actually got this for shoulder range of motion because I have two artificial shoulder joints.  It's perfect, the ""handles"" make it easy to use, much better than the rolled towel the therapist used.  Great for scrubber your back, too! As advertised; nice exfoliating 😊"
9,B000RTDUOW,"Man this powder is very reasonable and expensive and it smells so good, for all the large breasted females you understand that in the summer and even in the colder months because your breast is Big you have a sweaty smell like sweat socks in your bra, I could not tolerate this any longer this product definitely help with the smell I purchase some soap and it help with the skin infection. I know this may sound odd...but some women can get an itchy rash under their breast from sweat. This will solve your problem forever.....never anymore rash!  I have been using this for years and it works for this purpose 100 percent. I can’t believe how silky smooth this stuff makes my skin! And no more chafing between the thighs!! The smell is pleasant and not overpowering. I work 12 hour shifts at a hospital and this keeps things fresh all night! I only use it when needed since doctors recommend that we do not use any of the Powders especially scented. Feels fresh Just as seller described, value for money, great scent, make me feel dry all day. Will surely buy again Very good for sensitive skin. Pleasant feel and smell I use it all over"
