,asin,review_2023
0,B000PHP8L4,"Recomendado I want to start off saying that I love this spf, I really do.  However nowhere on the product info does it say Octinoxate is in the ingredients.  I have bought this twice thinking it is a mineral spf as it only mentions zinc in the ingredients in the description.  I kept my first bottle because it really is a great spf however I want to use only mineral spf, not chemical.  I went looking for another Elta MD mineral sunscreen and somehow bought this one again!  I read through the entire description and it didn't say anything other than zinc.  If you're ok with chemical sunscreens, this is honestly a great choice.  I feel like I've been duped twice somehow thinking I was buying a mineral sunscreen, and this isn't it. This is the only sunscreen I really love. I wear it daily. I’ve tried at least 50 sunscreens from cheap to ungodly expensive. This is decent price point for the amount you get. I like that it’s a combo sunscreen with zinc and a chemical filter, no fragrance, and it blends in quickly. Like others have said the pump sucks. Just give me a tube or something. I have to pull the pump up when it gets stuck down. Huge fan of all Elta MD products and have been using them for years. However, with the last 2 orders of the 7 oz body lotion, the pump stopped working and I had to transfer the still very generous contents to a plastic container. Anyone else having the same issue or can offer a better solution? The pump, like other users have said, quits working. It only worked for a short time, pretty much just past the return window. Otherwise, a great sunscreen for sensitive skin, just a crummy pump. I contacted the manufacturer and they said to turn it upside down and let it stand for awhile. Then pump a few times to prime. That seems to fix it, so I’m happy with it again. Love that this sunscreen does not smell like sunblock and is so easy to apply.  Only negative is its not water resistant, but it is more of an everyday use.  My daughter loves it . The best sunblock I've ever found, suitable for sensitive skin. My favorite sunscreen. it feels just like lotion. it works well, too. it's just so expensive."
1,B000KPO99I,"I have been using this for years . And literally the same jar for years because a little goes a long way. A few dabs on the finger you can moisturize you’re entire face and neck. I love how this feels on my skin. It’s important to put a night cream on every night and this is the go to cream . Love it ! Great price! My face! Good product I've been using for 2 years. Less product than described. Description says 2.5 ounces.  This jar says 50 ml, which is 1.69 oz which is 67% of what is promised. Using this for years Moisturizer Feels great.  I don't notice any difference yet but love the way it makes my skin feel and it doesn't smell bad"
2,B00016XJ4M,"Am in love with this .definitely buying again I never write reviews about skin care products because no matter how many different ones I try (high end or affordable), I don't notice anything great worth mentioning. This toner though, I think has just simplified my routine by so much.For reference, I have acne-prone, combination skin (oily forehead and t-zone, normal to dry on rest) and have adult acne especially around that time of the month. Aside from cleansing, I've only been using this toner and one moisturizer (I switch those up depending on how my skin feels) every morning and night. On rare occasions my skin feels hydrated enough, I really only put this toner on and that's it.What I like about using this is that it doesn't do anything extraordinary nor does it cause any problems. It keeps my face looking NORMAL and controlled. Which is really all I need, and my skin just feels good. My breakouts have been very minimal aside from the ones in the chin area due to hormones every month. I have noticed my face overall looks significantly brighter and clearer- I think I recognized this difference about a couple of weeks in first trying it. I used to have a lot of redness which felt like they were permanently there and won't go away. Now it's only a bit red around the nose and chin area.For application, I don't use cotton pads; I think it's a bit unnecessary as it soaks up a lot of product. I put a tiny puddle in my palm (always with clean hands) and slap it on. The consistency is like water but I never have the problem of it running down my arm. On drier days, I put on 2-3 layers of this (pat in, let absorb, put some more on), after that my skin feels super hydrated.The smell isn't anything to praise about, but it's nothing that will keep me away from using it either. This isn't a perfume, and as a skin care product, I would be worried if it did smell like one. If you've smelled real flowers, they smell good, but there's sometimes that slight underlying scent that might be not as pleasant. To me, that's what this toner smells like. It does smell of roses, but it has that touch of realness (how do you even describe this). I don't find it terrible at all.At the price, it's really worth giving it a go if you're looking for a good, basic toner to start your skin care routine. Going in I knew nothing about this toner other than the amount of reviews it has on Amazon and one youtube video of someone praising it, and I'm VERY glad I tried it. One bottle kept me good for 5 months (I already have my backup bottle ready). I bought my first bottle of the rose petal at the beginning of May this year, and I'm now about to finish up the last few drops. As long as my skin doesn't suddenly decide to react differently to it, I think I'm going to be keeping this toner as a staple for a long, long time.Update (a couple of years later..):Just wanted to add I still love this toner. And contrary to my old review above, using the toner with a cotton pad has been a game changer. Using it by itself was great as well, but I tried using it with a cotton pad to gently wipe the face and within a couple of weeks, the texture of the skin got better on another level. Let's start with my skin type. As a fellow online shopper, I think it's important to know the reviewers skin type so I can compare with my own. SUPER OILY.How oily? Let's put it this way. On average I use 4-6 oil blotting papers each time to remove shine. I do this 2-3 times a day to not look like butter. My supposedly long lasting 15-h foundation only lasts 2 hours before melting and I don't use eyeliner (even though I would love to!) because my eye lids melt everything; pencil, gel, powder, liquid. Anything. That is how oily I am. To add to my problems, I also have mild acne. I treat this with benzoid peroxide face wash, retinoid cream, and benzoid peroxide gel daily. I am simply adding the toner to my routine so any results or side effects are achieved with a combination of products. I will report as accurately as possible.Now back to the product.Day 1: I received the package very quickly and at first I was a little apprehensive because the liquid looked like baby oil inside the bottle. Later at night, I finally opened it and I was wrong. The toner is very light, non-greasy, and smelled like roses. The smell was a bit strong when I first poured it on a cotton pad, but about 5 minutes after application, 95% of the smell went away. So for those who are worried about the scent, it goes away quickly! After applying the toner on my face I felt very clean and normal. I say normal meaning I didn't fee dry and I didn't feel oily either. It was great. I followed quickly with my usual moisturizer and voila. Done.Day 2: I woke up and my face was not as oily as before, pre-toner. Upon washing my face, it felt softer and smoother. Definite plus. After using the toner only once, I am already feeling a difference. Overall, my skin feels cleaner and less heavy with oil. If your goal is to find something to clean and sooth, this toner does a pretty good job. As for pore sizes or acne, I will have to update after I've used the products for a few weeks. I'm going to add the toner to my routine twice a day as recommended and will update soon!One Month Later: I have lowered my use to once a day, at night, to clear away any excess dirt or makeup that was overlooked by the makeup remover + face wash. Aside from what I mentioned earlier, I did not notice any additional benefit of this toner. It definitely does help keep my pores cleaner but after a while, I still need to use clay masks or nose strips to remove the blackheads. Overall, I would say that using this toner wouldn't hurt. I observed no negative reactions and it's quite affordable as a toner for only $10!Recommendations: For anyone looking for a general toner that covers all your bases, I would recommend this one due to its low costs and large quantity. (After one month, I barely used half the bottle.) For anyone looking to target anything specific like oiliness, acne, pores, etc, I would recommend to possibly keep shopping. Let me be clear that this toner is not bad, in fact, it's a lot better than other toners I've tried because it didn't dry out my skin, but it also did not fulfill the hopes that I had when trying it. If you have relatively good skin, go for it. This one is both good for your wallet and skin. It has been such a relaxing experience using this toner. I love the smell and enjoyed the results. I feel more cleaning skin and great results after use. It something I recommend to my family and friends and always keep a bottle in my home."
3,B001DJ9JJU,"Very moisturizing I love this moisturizing oil.  I use it every night and every morning under my cream moisturizer. Can’t live without it. I can also use it on my cuticles and my hair. Although a bit expensive, I'm willing to try one bottle of product. I love it. I’m on my second bottle and just bought 3 friends a bottle. I put body lotion in my hand and add a few drops of Josie Marian’s  Argan oil. My skin has never been smoother. There are other options also. This product is wonderful. I like the lightness of this oil - and it takes very little to cover my entire face and neck I used this several years ago and going back to it. Love it! Excellent product. As well as the whipped Argon oil for your body. Always smells fresh and my sling just soaked it up. Great for nails and hair! Love this product! This oil is amazing for my skin.  It gives softness, radiance, and comfort without any grease or breakouts.  I've tried other argan oils but so many are watered down, or diluted with cheap ingredients, they're just junk.  I know Josie Maran's argan oil is 100% pure, highest quality oil.  It has no scent, and it's surprisingly lightweight.  Since I need only several drops to moisturize my whole body (seriously!), I feel this is an excellent buy. You might find cheaper argan oil, but it may be from low quality fruit or fruit from genetically reproduced trees (which are fantastic, of course, but they may not even be in Morocco.  The genetically modified and reproduced argan forests, if grown away from the traditional argan location in the Atlas Mountains, take much profit away from the companies that farm and harvest the trees in their endemic location. REAL Argan Oil is ALWAYS produced in Morocco. There are businsses making huge profits on what they claim is argan oil, but so many have been found to have added sunflower and or olive oil, diluting the argan oil. Argan oil is the most expensive oil in the world. Real argan oil costs $300 USD per liter.  So if you're finding ""real"" 100% undiluted argan oil for cheap prices, you might want to check it out very thoroughly before you use it. There are claims that even Ecocert certification passes diluted, impure argan oil. Yes, it may be 100% organic, but is it 100% pure, unadulterated argan oil? It can be organic sunflower or olive oil too. Argan oil for skin has no added fragrance, so if your product has a perfumey fragrance, right there you know it's not ""pure"". The argan tree take 14 years to bear fruit, which its oil is so precious and rare. The Moroccan Women's co-ops that work with Maran's company are dedicated to responsible harvesting practices and reforestation projects, which - along with environmental protection policies – keep Argan forests and women's jobs safe. I'm sticking with Josie's because of the stringest testing and requrements. She's staked her company on the authenticity and effectiveness of argan oil, so I feel confident I'm getting high quality, organically grown, chemical free, pure oil."
4,B0014UCJPO,"I bought this because I like natural things over all other brands with a lot of chemicals , I use it once a week , my oil has went down on my t-zone and I definitely notice a change in my skin I have combination skin and I use a clay mask twice a week to help with oil control and to do a deep clean. Overall, this is a good clay mask, an option to try if you like to make your own mask.Preparation: I find that 1 tablespoon clay and a tablespoon water (as instructed by the packaging) yields they a very thick mask (see picture). I prefer to use less than a tablespoon of clay with more than a tablespoon of water to get the right consistency and quantity for me, The clay mixes easily with water.Application: This clay is slippery and very tricky; if you get a too thick consistency it's very hard to spread on the face, if it's a little too watery you get an uneven application.Wear: The clay doesn't really dry out completely (even if I only use just water) so it's not uncomfortable while it's on the face. It also doesn't leave dust all over the house if I move around while wearing it.Cleaning: Some clay masks are very hard to remove, but this one just glides of the face. But I always remove clay masks in the shower.Dryness: After & remove it my skin is not left dessert dry, like some clay mask do. But for very dry skin it's still worth mixing it with an face oil.Cleaning: In terms of removing impurities, I would say it only removes 80% of impurities. It also dries out some pimples.Since it yields a thick but somewhat slippery consistency, I think it would also be great for wraps. good product I purchased this to use as a face mask. For a long time, I used bentonite clay. However, I find it to be too drying and my skin is just way too sensitive for bentonite. After reading tons of reviews on all the best clays, I settled on this one. I DEFINITELY prefer it over bentonite. It doesn't pull stuff out as well as benny clay, but it's soooo much gentler on my skin. It still does work to clear pores, but it is a slightly slower process compared to bentonite.The BEST feature about this, though, is that you don't need to mix it with apple cider vinegar. I don't mind mixing benny clay and ACV, but it's so much more convenient to be able to mix this with water. It forms a great paste.I use equal parts clay and water (sometimes more water is necessary). I only use about a half-tablespoon, as I don't think this mask needs to be super thick on your face to get the job done.Apply all over or in troubled areas, wait for upwards of 45 mins (I like it to be VERY dry before taking it off, although that's not everyone's preference and drying time depends on the thickness/wetness of the mix), and then rinse off. Your face will be red where the mask was, but that's totally fine. However, if you experience itching, swelling, or discomfort after removal, there may be an issue and you should stop using.Love this stuff! I like doing a mask weekly and it exfoliates and cleans my skin really well! I actually use this in my professional facials, it is a great way to detox your skin, it also will minimize your pores and the anti aging effects helps you tighten your face and gets rid of fibe lines and wrinkles with regular use. My favorite product  to use by far!!!! You can actually feel it working. The differenceis Instantly noticeable, and ur skin feels great. I honestly  recommend  to use it once or up to 2x a week depending on how you feel about it. But my regular clients noticeable real results with weekly use. I love to use this at home on my own face as well and use it once to 2x a week depending on the need for it. I have really sensitive skin and this doesn't irritate my skin at all. All u need is a thin layer. Ur skin will thank u. Producto en excelentes condiciones I like this clay mask and I love how it tightenings my face as it dries on and it is so easy to mix and I have a special little bowl and a wooden spoon too and I just what I feel is the amount I need to use.  It takes 10 minutes then is tight and itchy too but I love it weird I know also when it starts to flake from drying.  I like the price too and all these products do not need to be so expensive either so I find the products that are less are really good too.  I used the Glamglow product 60 dollars and it did nothing for me I just paid for the name so sometimes less is more. Wow this stuff is awesome! Leaves my skin feeling so fresh and soft. I didn’t notice a smell to it nor any side effects like redness, irritation, burning or itchyness which is great because I have very sensitive skin. Product dried quickly once applied. The only thing I did not like about this product which is why I knocked off 1 star is the fact that it is very messy to remove and flakes everywhere so I don’t advise using just water over the sink. Definitely remove the thick chunky parts with a damp cloth or paper towel and then what ever is left finish off with just water."
5,B001AD0HL8," This is great for a lot of things. If ur going thru chemo u definitely want to use it because chemo sucks out ur minerals. If your consipated it will help you go. Leg cramps the list is endless Magnesium oil, when rubbed directly into a sore muscle or at the bottom of your feet gets into the system much faster than a pill. This magnesium is great for muscle craps, stops them almost immediately upon applying it. I apply evening and morning. Been using it for 3yrs now and will continue. recommended by my chiropractor It worked very quickly. A little goes a long way, so don’t spray too much. Definitely relaxes you. I like the feeling it gives my skin. I’m still trying to train myself to get in the habit of using it but I think it’s been helping my skin and some other symptoms of low magnesium I’ve been experiencing. If I was more consistent I’d probably see clearer results. Muscle"
6,B0018RF4IW,"I've used Skin Obsession products for 10 years. They are the best, the most affordable, highest quality and their customer service is excellent. I’ve used this product three times, in conjunction with NeedCrystals Microdermabrasion Crystals Skincare Booster. And everytime I use it I wake Up with clearer skin! I tend To have mild sub clinical acne, it’s like I always Have at least 3 pimples, and the discoloration stays on my face for a while. I can Already see incredible progress, there are no bumps on my face anymore! Normally I have Small skin colored bumps on my forehead, clogged pores. I’m pleasantly surprised with this mask! I feel Like in no time I’ll have smooth and even tone skin! Bonus that it smells delicious. It’s somewhat difficult to wash off, probably would help to wash it in the shower. I've used Skin Obsession's glycolic acid and loved the potency of it. I'm a licensed esthetician and have used pumpkin masks and peels before. This can stand in line with some of the costly ones and has a good price point. I had to use very little, so I could see this product lasting a long time. There was some tingling as expected when I first applied and then it dried quickly and left my skin feeling nice and tight. If you're not used to using glycolic acid or have  pumpkin before, I would recommend leaving it on for the shorter duration and increasing the time gradually. This also came with a free sample of  exfoliating crystals which are absolutely amazing and i will be purchasing those as well. Overall i love this brand's chemical exfoliants and would recomend. Worked just like if I went to the spa to get it done I have used this product many times over the last two years and recently reordered my fifth (maybe sixth?) jar. It's peeling effect is minimal unless you are using it for your first peel. I use it for maintenance and for hydration as I use much stronger products - also from Skin Obsession - for my facial/neck/chest peels. I am 39, with skin concerns including fine lines as well as enlarged pores and oiliness (oy vay)Results to expect. Overall you'll feel a cool tingle as the peel sits and works on your skin. I have never experienced any discomfort from this product. After washing off the product your skin will feel smoother - maybe look a little pink due to the glycolic acid - but that fades quickly.This is a good product that I keep reordering. I notice when it's been a while since I last used it. At 39, my priority is to maintain & preserve my skin. One last word of advice- Use sunscreen on your face after using this product! A gentle one that won't sting. Love this stuff! Excellent light daily glycolic peel. Takes only a thin layer. This will last a while. Leave you skin smooth and clean. Really gets down in the pores. Combine with Skin Essentials Tightening or their Hyaluronic serum for one of the best daily treatments you can get at this pricepoint. I'm hooked. I have an ongoing problem with skin color unevenness and oily skin.  I've tried many types of treatments with some improvement but it does not last.  I remembered that I once had a facial peel containing pumpkin that had worked pretty well.  After reading some reviews online I decided on this product.  I use skin obsession's pumpkin enzyme mask peel every day in the shower after I wash my face(pat face dry before applying) and it seems to leave my skin soft, non-oily, and noticeably leaves my darker areas lightened with no ill effects. So it doesn't solve my problem altogether but it helps as well as anything I've ever tried and is easy to apply and wash off. This was my first time using this product. I used a cotton ball to apply this peel & followed all of the directions properly. As soon as i applied the mask to my skin i felt a bit of a burn ""but in a good way"" i knew that it was working. I left my mask on for 20 minutes and washed it off ""it was not difficult to remove"" i used a face brush & face wash for a thorough clean. I did not see my skin peel & there was zero healing time like other face peels."
7,B000VPPUEA,"I have no complaints about bio oil. It can be pricey but it is worth it if you’re needing it for a specific skin discoloration issue or trying to prevent stretch marks. Even if you choose not to buy it online, I still recommend you get it from a store. I am extremely familiar with this product, it’s been a lifesaver in different points of my life. It was with bio oil that I was able to fade a very dark burn on my face from a bad waxing attempt many years ago. It literally looks like nothing was ever there. I have always used it to fade any dark spots or scars successfully. I don’t like using it on my face as much as my body just because it’s oil, but it has never caused any breakouts for me personally and I know that if I ever have another problem on my face, this works. I have now been using it every day on my belly to prevent stretch marks during pregnancy. I am currently 8 months pregnant, only have a few weeks left to go, and still no stretch marks at all. I know if they show up that it will not be this product or anything that is to blame, it will simply be natural cause if my belly grows faster than my skin can keep up with. However I have seen amazing benefits for my skin elasticity. The last three weeks I have been feeling the growing tension and stretch on my belly and belly button, and felt like stretch marks were on the brink of showing, but I’ve been super consistent with applying oil a few times a day and nothing has popped up so far. I know it would’ve been a different story if I wasn’t using anything. I rely heavily on bio oil and sometimes combine it with lavender oil at night, and massage those in. I also use lotion or the Vaseline cocoa body oil gel when running low on this - just trying to extend the use of what I have and keeping my belly moisturised as much as possible throughout the day. I’m sure there are other things you can use to help with extra moisturising if you need it, like applying lotion if you need to go out and don’t want to have oil on your clothes. This is your body, you’re the one who has to live in it and at the end of pregnancy you’ll be glad you did all you could to help with the changes. Some body changes will be inevitable and that’s amazing, you cannot expect your body to be the same when motherhood is such a transformative process and you are growing a life. We should make our peace with all these things, see beauty in it and focus on good health above all, but I also believe it’s best for your mental health to look after what’s important to you and have no regrets. If preventing stretch marks is important to you, don’t neglect it. So I ordered this while pregnant to prevent stretch marks, but I was a mess while pregnant and didn’t really use it lol so I can’t attest to how it works in that way. But OMG. I started using it for my c-section scar after I had the baby and it really works! Then I was reading the bottle one day and saw it mentioned putting it on your face and this is the part I am especially excited about! I have had breakouts since I was a teenager and have never ever been able to make an impressive difference with any product, including those prescribed by a dermatologist. I thought it sounded crazy to put oil on my acne-prone skin but thought hey what the hell lol I added 4-drops to my moisturizer in my hand (I use CereVe), mixed between my fingers, and applied. I didn’t think much of it because I went into using it this way on a whim and with ZERO expectations. Two days later I catch a look of myself in the mirror and noticed how much better my skin looked! And I wasn’t looking for improvement- it was just that obvious to me! After only 3 uses, my pores were smaller and all the gunk I can usually see living inside my cheeks was significantly reduced. I mean, WOW. I’ve been using it religiously for about a month now and am now seeing significant reduction in my acne scars and discoloration from the sun, as well. The fading of the scars/discoloration definitely takes time, but it works like a dream and is worth the wait/commitment. I will buy this stuff for the rest of my life! I haven’t had skin this clear since before puberty, guys! I would happily pay much more for this product because of how good it works, so the price is an awesome bonus. It should last a super long time since you really don’t need much at all. It has a very nice smell- like a powdery clean smell. 10/10 recommend!! I was skeptical to try it but decided to give it a go. I've use it twice a day for about a month or so & I have no complaints. I added this to my cerave products and feel like I've finally found the perfect routine for my skincare. I love the way it makes my skin feel and look.I've also been using this on my c-section scar and it has alleviated the itchiness from the scar 🙌🏻 10/10 I love this! I kept seeing it pop up on social medias so decided to buy and omg I don’t regret it! I’m on my second bottle I also got my nieces one! I have semi sensitive skin especially to some makeup and this cleared my reaction and chemical burns within 2 days! I know some peoples skins are different and react differently but so far this has helped me! Also I have eczema around my nose and eyebrows and this has helped with the dry and flakiness!! This cured very bad seborrheic dermatitis on my face in a matter of days. In 2021, I had 6+ months of a weird rash on my face that seem to elude every doctor. It was so bad that they tested me for lupus (it followed the butterfly pattern). It hurt, itched, was horribly unsightly, and oral steroids were the only thing that got it under control. I found this product in one of many desperate late-night internet searches and bought it on a whim. It literally fixed my rash in 2 days. Now I put it around my eye area and neck every time I get out of the shower and no more problems! Cured! I absolutely would recommend this product tho anyone who had skin discoloration issues. I have some scars as well as hyper potentiation from having a few babies and those stuff is like magic. It doesn't happen overnight but as you use it you will begin to see a noticeable difference in the appearance of your scars, mine nearly vanished after about a month, as did my hyper pigmentation on my upper lip. Check it out, totally worth the price and it smells pretty good too! I’ve been using this oil for about a month, and I’ve notice a slight difference . Yet I’m hoping with continue use it will help me with my uneven skin tone. I’m usually not consistent with beauty products, but I have been with this one. Anyway, it’s worth a try."
8,B000EY4YLS,"I love this stuff, but be warned that this is not going to be a great sunscreen for everyone, which is why I knock this down to 4/5 instead of 5/5. It absorbs well (for me) but looks a lil greasy, even after letting it sit for a moment. It looks greasy, but it doesn't feel greasy, make of that what you will. I personally really like looking glowy without having sticky/moist feeling skin.Another thing: If you have darker skin, this might not be the best product for you :( (and tbh ppl with darker skin are probably already well aware of this possibility with all/most mineral sunscreens, but I just wanna confirm this does in fact leave a white cast) I am pale as snow, so the white cast this leaves on my skin almost works like a tinted SPF (lol).BUT, I believe Blue Lizard has a Sheer SPF that works a lot better for more melanated individuals.This stuff doesn't pill up, even when I use a thick moisturizer underneath it. It looks great when I put makeup on top of it. It stays on basically all day and doesn't budge, I actually have to work it a little to get it off my skin with my cleanser at the end of the day. I use this on my face and my body daily and it has never broken me out or stung my eyes and I have pretty darn sensitive skin. If you need a heavy-duty sunscreen (and again, you either don't mind a white cast or are pale) this stuff is very good!! If you have sensitive skin, and have tried hundreds of sunscreens, try this one. Every sunscreen I’ve ever tried has burned my eyes while wearing it, and while trying to wash it off, it’s burned my eyes even more. But not this one. This one was easy to apply, didn’t burn my eyes while wearing, and while removing it - still didn’t burn my eyes! I stopped wearing sunscreen for a long time because I’ve never been able to find one. But finally, I can stop having the sun damage my skin and I finally found one that works. Just buy it, and try it. In the past I always had a problem with getting sunscreen in my eyes when I workout or play Pickleball. No matter what I did the sunscreen and got in my eyes and was very irritating and painful. Blue Lizard sunscreen solves that problem. No matter how much I sweat, or whether I apply this sunscreen close to my eyes, there's no eye irritation. It's also provides great, long-lasting, protection from the sun. I've been using this product for over a year now and I plan to stick with it. Very happy with this product. I actually found out about this stuff when my sister bought a bottle and brought it home as this one was being shipped. 🙄I'm very fair skinned and burn easily. One might say I'm a vampire, though the sight of blood does not excite me. And because of this I'm either covered head to toe 365 a year or drowning myself in sunscreen.Many of them irritate my skin because as luck would have it, nature blessed me with being sensitive, too. To perfumes and whatever else they're putting in other sunscreen. I can maybe get away with putting some of it on my legs and arms, but never on my face. Anything perfume-y on my face and my eyes swell up and shut tight... I look like I'm turning into a fly, no thank you.I was using Shiseido Sunscreen at one time for all over, until I ran out. It worked very well and I never had an issue. Except it's rather costly and it's got a white cast to beat the band. Yeah. I'm talking full-on clown makeup. Still, no burns, no tan. Hallerlujah!So now I've got Blue Lizard. And it's got a white cast, but it's not terrible. It's also not permanent. It actually disappears after a few minutes - which kind of left me wondering if I was covered still. I checked... my skin is slick so sunscreen is still on me. If there's doubt, the gnats return to start annoying me with their presence.I spend upwards of 3 - 5 hours in the pool every day, unless it's storming. The first hour is walking around in the water vacuuming, so my hands are getting more water exposure than my face is. Rash guards from neck to ankle.Roughly 30 - 45 minutes later, the sunscreen that was on my hands is gone. I believe that the bottle says up to 60 minutes water-resistant (not waterproof! Any sunscreen that claims ""waterproof"" is being deceitful), and I know you're supposed to reapply every 80 for this SPF... but there should be something to let consumers know that water exposure will halve the protection time.Because I reapplied religiously, I never got any kind of sun burn or tan. Somehow my hands magically escaped with my reapplying while wet. But after you let the product dry a bit before you return to your activity, it should work fine.I also had zero irritation - EXCEPT when I went underwater after vacuuming and scooping out nature's little minions for over an hour.This product will run. It will get in your eyes. And it will burn. It doesn't matter if you applied it dry or with damp hands and then let your face dry. If you start sweating or your face gets wet at all and the water goes into your eyes, it's picking up product and taking it to your peepers! This happened so many times over the course of two weeks I thought I was going to lose both of my eyes. At first they just felt dry. But every day it got worse and worse.For this reason I have stopped using it on my face and have started using something else that doesn't run and cause irritation. My eyes were red as fire trucks for over a week, and I have been worshipping the makers of eye drops ever since.The lid changing color to let me know of the UV danger is nice. I don't know how scientifically accurate that is, but it's a good focal for me anyway.So, it's really great stuff as far as I'm concerned. I just know better where to put it now. I recently purchased the Australian Sunscreen mineral sunblock and overall, I am quite pleased with it. One thing to note is that it is not waterproof, only water resistant, so it's important to remember to reapply after swimming or sweating.One downside of this sunscreen is that it can be slightly greasy, which may not be ideal for those with oily skin. Additionally, it can sting the eyes if it gets into them, so be careful when applying around the face.One thing I really appreciated about this sunscreen is that it doesn't leave a white cast on my Asian skin, which is a common issue with many mineral sunscreens. It is also thick and creamy, which makes it easy to apply and spread evenly on the skin.Overall, I would recommend the Australian Sunscreen mineral sunblock for those who are looking for a water resistant, mineral sunscreen that is free of a white cast. Just be aware of its slightly greasy texture and potential to sting the eyes. I really liked this for several reasons:No toxic chemicals, white cast faded quickly, stayed on skin well, good protection"
9,B000F65JSC,"I love this eye cream because it does not have any side effects at all. I have tried many other eye creams and they all made my eyes water and itch badly.It was so uncomfortable. This eye cream is light AND moisturizing plus it goes on very smoothly.Try it and you just might like it. Can’t do without this product. Keeps moisture around and under more eyes. I notice a big difference when I don’t use it. Will keep purchasing!! TRIED OTHER OLAY CREAMS....THIS ONE WORKS BEST AND IS AFFORDABLE I am quite impressed with this product as a highlighter to conceal  dark undereye circles.  But Not impressed as a moisturizer.it dried out my skin . I would not recomend this product. Have been using this for long time. Happy to get it at discount price. More moisturizing than the ultimate cream, but I kind of prefer the ultimate although this is great. I prefer ultimate because I notice it work on under eye lines. Extremely moisturizing and gentle on skin where the ultimate can sometimes burn. Es una crema suave con algo de fragancia, pero no vi resultados mayores. I will say I prefered the Olay de-puffer eye cream I used to buy, but this one is pretty good. This doesn't come in exactly the right color for me, so it doesn't blend as well as I'd like. It still does a good job of moisturing and helping with puffiness and dark circles."
