,0
0,9759091062
1,9790790961
2,9790794231
3,B00004U9UY
4,B000052XW5
5,B000052Y25
6,B000052Y5F
7,B000052Y6Z
8,B000052YJD
9,B000052Z8D
10,B000052ZB2
11,B000052ZBH
12,B000052ZTY
13,B00005302B
14,B0000530LP
15,B0000532VT
16,B0000533CC
17,B0000535CH
18,B0000535UA
19,B0000535VH
20,B00005R1H2
21,B00005R1H3
22,B00005S81T
23,B00005V5OU
24,B00006IGL3
25,B00006IGL8
26,B000087L6T
27,B00008BNZ4
28,B00008ZPGA
29,B000093A0U
30,B0000950LF
31,B0000CC64W
32,B0000CNR0J
33,B0000Y3C3I
34,B0000Y3COC
35,B0000Y3CRY
36,B0000Y3CSI
37,B0000Y3FRG
38,B0000YV83O
39,B00011JTFA
40,B00011QVUG
41,B00012NEYG
42,B000136P7S
43,B00013TQRE
44,B00013Z15A
45,B000141O6E
46,B000142PUS
47,B0001432S2
48,B0001433VI
49,B00014DTY4
50,B00014DZ2K
51,B00014GTWS
52,B00014WW38
53,B00016QYOO
54,B00016WSIK
55,B00016WUEW
56,B00016WW8Q
57,B00016X68Q
58,B000195GAY
59,B000196U04
60,B0001AGMWE
61,B0001EKYL0
62,B0001EL5R2
63,B0001FF80G
64,B0001MC06Y
65,B0001TOH8G
66,B0001VOJWI
67,B0001XKA38
68,B0001XLSQ6
69,B0001XLSR0
70,B0001Y74VS
71,B0001YXXUY
72,B0001ZA4CS
73,B0001ZYLAO
74,B00021AK4I
75,B00021AM9G
76,B00021AYF8
77,B00021B8L2
78,B00021BEXY
79,B00021C1LI
80,B00021CNCK
81,B00021CT10
82,B00021D5FY
83,B00021DTEG
84,B00021DUM2
85,B00021DVCQ
86,B00021DZCC
87,B000225ZL0
88,B000225ZOC
89,B0002260DW
90,B0002260L4
91,B0002260N2
92,B00023KDAW
93,B000248HLI
94,B000260KIO
95,B000277N7Y
96,B00027CDYM
97,B00027CGWQ
98,B00028OC4K
99,B00028OTNY
100,B0002B0R14
101,B0002BB3YO
102,B0002DLEJG
103,B0002DPG1I
104,B0002E4WOO
105,B0002JNRCC
106,B0002NIAC0
107,B0002Q8W9I
108,B0002QB1SC
109,B0002RPTX4
110,B0002SGSNI
111,B0002SISY0
112,B0002SQ6YO
113,B0002TSCZY
114,B0002UEDWE
115,B0002VHBTU
116,B0002VQ0WO
